m,L,owner_p,owner_q,owner_sign,matched
2,2,,,,False
3,2,1,1,+1,True
4,3,1,1,+1,True
5,3,,,,False
6,4,,,,False
7,5,,,,False
8,5,,,,False
9,6,,,,False
10,6,,,,False
11,7,,,,False
12,8,,,,False
13,8,,,,False
14,9,,,,False
15,9,,,,False
16,10,,,,False
17,10,3,5,+1,True
18,11,,,,False
19,12,,,,False
20,12,,,,False
21,13,,,,False
22,13,3,5,+1,True
23,14,,,,False
24,15,,,,False
25,15,,,,False
26,16,,,,False
27,16,3,5,+1,True
28,17,,,,False
29,17,3,5,+1,True
30,18,,,,False
31,19,,,,False
32,19,3,5,+1,True
33,20,,,,False
34,20,3,5,+1,True
35,21,,,,False
36,22,,,,False
37,22,3,5,+1,True
38,23,,,,False
39,23,3,5,+1,True
40,24,,,,False
41,25,,,,False
42,25,3,5,+1,True
43,26,,,,False
44,26,3,5,+1,True
45,27,,,,False
46,27,3,5,+1,True
47,28,3,5,+1,True
48,29,,,,False
49,29,3,5,+1,True
50,30,,,,False
51,30,3,5,+1,True
52,31,3,5,+1,True
53,32,,,,False
54,32,3,5,+1,True
55,33,,,,False
56,33,3,5,+1,True
57,34,3,5,+1,True
58,34,3,5,+1,True
59,35,3,5,+1,True
60,36,,,,False
61,36,3,5,+1,True
62,37,3,5,+1,True
63,37,3,5,+1,True
64,38,3,5,+1,True
65,39,,,,False
66,39,3,5,+1,True
67,40,3,5,+1,True
68,40,3,5,+1,True
69,41,3,5,+1,True
70,42,,,,False
71,42,3,5,+1,True
72,43,3,5,+1,True
73,43,3,5,+1,True
74,44,3,5,+1,True
75,44,3,5,+1,True
76,45,3,5,+1,True
77,46,3,5,+1,True
78,46,3,5,+1,True
79,47,3,5,+1,True
80,47,3,5,+1,True
81,48,3,5,+1,True
82,49,3,5,+1,True
83,49,3,5,+1,True
84,50,3,5,+1,True
85,50,3,5,+1,True
86,51,3,5,+1,True
87,51,,,,False
88,52,3,5,+1,True
89,53,3,5,+1,True
90,53,3,5,+1,True
91,54,3,5,+1,True
92,54,,,,False
93,55,3,5,+1,True
94,56,3,5,+1,True
95,56,3,5,+1,True
96,57,3,5,+1,True
97,57,,,,False
98,58,3,5,+1,True
99,58,17,29,+1,True
100,59,3,5,+1,True
101,60,3,5,+1,True
102,60,,,,False
103,61,3,5,+1,True
104,61,,,,False
105,62,3,5,+1,True
106,63,3,5,+1,True
107,63,,,,False
108,64,3,5,+1,True
109,64,,,,False
110,65,3,5,+1,True
111,66,3,5,+1,True
112,66,,,,False
113,67,3,5,+1,True
114,67,,,,False
115,68,3,5,+1,True
116,68,,,,False
117,69,,,,False
118,70,3,5,+1,True
119,70,,,,False
120,71,3,5,+1,True
121,71,,,,False
122,72,,,,False
123,73,3,5,+1,True
124,73,,,,False
125,74,3,5,+1,True
126,74,,,,False
127,75,,,,False
128,75,17,29,+1,True
129,76,,,,False
130,77,3,5,+1,True
131,77,,,,False
132,78,,,,False
133,78,,,,False
134,79,,,,False
135,80,3,5,+1,True
136,80,,,,False
137,81,,,,False
138,81,,,,False
139,82,,,,False
140,83,3,5,+1,True
141,83,,,,False
142,84,,,,False
143,84,,,,False
144,85,,,,False
145,85,,,,False
146,86,,,,False
147,87,,,,False
148,87,,,,False
149,88,,,,False
150,88,,,,False
151,89,,,,False
152,90,,,,False
153,90,,,,False
154,91,,,,False
155,91,,,,False
156,92,,,,False
157,92,17,29,+1,True
158,93,,,,False
159,94,,,,False
160,94,,,,False
161,95,,,,False
162,95,,,,False
163,96,,,,False
164,97,,,,False
165,97,,,,False
166,98,,,,False
167,98,,,,False
168,99,,,,False
169,99,17,29,+1,True
170,100,,,,False
171,101,,,,False
172,101,,,,False
173,102,,,,False
174,102,,,,False
175,103,,,,False
176,104,,,,False
177,104,,,,False
178,105,,,,False
179,105,,,,False
180,106,,,,False
181,107,,,,False
182,107,,,,False
183,108,,,,False
184,108,,,,False
185,109,,,,False
186,109,17,29,+1,True
187,110,,,,False
188,111,,,,False
189,111,,,,False
190,112,,,,False
191,112,,,,False
192,113,,,,False
193,114,,,,False
194,114,,,,False
195,115,,,,False
196,115,,,,False
197,116,,,,False
198,116,17,29,+1,True
199,117,,,,False
200,118,,,,False
201,118,,,,False
202,119,,,,False
203,119,,,,False
204,120,,,,False
205,121,,,,False
206,121,,,,False
207,122,,,,False
208,122,,,,False
209,123,,,,False
210,124,,,,False
211,124,,,,False
212,125,,,,False
213,125,,,,False
214,126,,,,False
215,126,17,29,+1,True
216,127,,,,False
217,128,,,,False
218,128,,,,False
219,129,,,,False
220,129,,,,False
221,130,,,,False
222,131,,,,False
223,131,,,,False
224,132,,,,False
225,132,,,,False
226,133,,,,False
227,133,17,29,+1,True
228,134,,,,False
229,135,,,,False
230,135,,,,False
231,136,,,,False
232,136,,,,False
233,137,,,,False
234,138,,,,False
235,138,,,,False
236,139,,,,False
237,139,,,,False
238,140,,,,False
239,141,,,,False
240,141,,,,False
241,142,,,,False
242,142,,,,False
243,143,,,,False
244,143,17,29,+1,True
245,144,,,,False
246,145,,,,False
247,145,,,,False
248,146,,,,False
249,146,,,,False
250,147,,,,False
251,148,,,,False
252,148,,,,False
253,149,,,,False
254,149,,,,False
255,150,,,,False
256,150,17,29,+1,True
257,151,,,,False
258,152,,,,False
259,152,,,,False
260,153,,,,False
261,153,,,,False
262,154,,,,False
263,155,,,,False
264,155,,,,False
265,156,,,,False
266,156,,,,False
267,157,,,,False
268,157,17,29,+1,True
269,158,,,,False
270,159,,,,False
271,159,,,,False
272,160,,,,False
273,160,17,29,+1,True
274,161,,,,False
275,162,,,,False
276,162,,,,False
277,163,,,,False
278,163,,,,False
279,164,,,,False
280,165,,,,False
281,165,,,,False
282,166,,,,False
283,166,,,,False
284,167,,,,False
285,167,17,29,+1,True
286,168,,,,False
287,169,,,,False
288,169,,,,False
289,170,,,,False
290,170,,,,False
291,171,,,,False
292,172,,,,False
293,172,,,,False
294,173,,,,False
295,173,,,,False
296,174,,,,False
297,174,17,29,+1,True
298,175,,,,False
299,176,,,,False
300,176,,,,False
