m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,2,,,,False
4,2,,,,False
5,2,1,2,+1,True
6,3,,,,False
7,3,1,2,+1,True
8,3,1,2,+1,True
9,4,1,2,+1,True
10,4,1,2,+1,True
11,4,,,,False
12,5,1,2,+1,True
13,5,,,,False
14,5,,,,False
15,6,,,,False
16,6,,,,False
17,7,,,,False
18,7,,,,False
19,7,,,,False
20,8,,,,False
21,8,,,,False
22,8,,,,False
23,9,,,,False
24,9,,,,False
25,9,,,,False
26,10,,,,False
27,10,,,,False
28,10,,,,False
29,11,,,,False
30,11,,,,False
31,11,5,14,+1,True
32,12,,,,False
33,12,,,,False
34,13,,,,False
35,13,,,,False
36,13,,,,False
37,14,,,,False
38,14,,,,False
39,14,,,,False
40,15,,,,False
41,15,,,,False
42,15,,,,False
43,16,,,,False
44,16,,,,False
45,16,5,14,+1,True
46,17,,,,False
47,17,,,,False
48,18,,,,False
49,18,,,,False
50,18,,,,False
51,19,,,,False
52,19,,,,False
53,19,,,,False
54,20,,,,False
55,20,,,,False
56,20,,,,False
57,21,,,,False
58,21,,,,False
59,21,5,14,+1,True
60,22,,,,False
61,22,,,,False
62,22,5,14,+1,True
63,23,,,,False
64,23,,,,False
65,24,,,,False
66,24,,,,False
67,24,,,,False
68,25,,,,False
69,25,,,,False
70,25,,,,False
71,26,,,,False
72,26,,,,False
73,26,5,14,+1,True
74,27,,,,False
75,27,,,,False
76,27,5,14,+1,True
77,28,,,,False
78,28,,,,False
79,28,5,14,+1,True
80,29,,,,False
81,29,,,,False
82,30,,,,False
83,30,,,,False
84,30,,,,False
85,31,,,,False
86,31,,,,False
87,31,5,14,+1,True
88,32,,,,False
89,32,,,,False
90,32,5,14,+1,True
91,33,,,,False
92,33,,,,False
93,33,5,14,+1,True
94,34,,,,False
95,34,,,,False
96,35,,,,False
97,35,,,,False
98,35,,,,False
99,36,,,,False
100,36,,,,False
101,36,5,14,+1,True
102,37,,,,False
103,37,,,,False
104,37,5,14,+1,True
105,38,,,,False
106,38,,,,False
107,38,5,14,+1,True
108,39,,,,False
109,39,,,,False
110,39,5,14,+1,True
111,40,,,,False
112,40,,,,False
113,41,,,,False
114,41,,,,False
115,41,5,14,+1,True
116,42,,,,False
117,42,,,,False
118,42,5,14,+1,True
119,43,,,,False
120,43,,,,False
121,43,5,14,+1,True
122,44,,,,False
123,44,,,,False
124,44,5,14,+1,True
125,45,,,,False
126,45,,,,False
127,45,5,14,+1,True
128,46,,,,False
129,46,5,14,+1,True
130,47,,,,False
131,47,,,,False
132,47,5,14,+1,True
133,48,,,,False
134,48,,,,False
135,48,5,14,+1,True
136,49,,,,False
137,49,,,,False
138,49,5,14,+1,True
139,50,,,,False
140,50,,,,False
141,50,5,14,+1,True
142,51,,,,False
143,51,5,14,+1,True
144,52,,,,False
145,52,,,,False
146,52,5,14,+1,True
147,53,,,,False
148,53,,,,False
149,53,5,14,+1,True
150,54,,,,False
151,54,,,,False
152,54,5,14,+1,True
153,55,,,,False
154,55,,,,False
155,55,5,14,+1,True
156,56,,,,False
157,56,5,14,+1,True
158,56,5,14,+1,True
159,57,,,,False
160,57,5,14,+1,True
161,58,,,,False
162,58,,,,False
163,58,5,14,+1,True
164,59,,,,False
165,59,,,,False
166,59,5,14,+1,True
167,60,,,,False
168,60,,,,False
169,60,5,14,+1,True
170,61,,,,False
171,61,5,14,+1,True
172,61,5,14,+1,True
173,62,,,,False
174,62,5,14,+1,True
175,62,5,14,+1,True
176,63,,,,False
177,63,5,14,+1,True
178,64,,,,False
179,64,,,,False
180,64,5,14,+1,True
181,65,,,,False
182,65,,,,False
183,65,5,14,+1,True
184,66,,,,False
185,66,5,14,+1,True
186,66,5,14,+1,True
187,67,,,,False
188,67,5,14,+1,True
189,67,5,14,+1,True
190,68,,,,False
191,68,5,14,+1,True
192,69,,,,False
193,69,,,,False
194,69,5,14,+1,True
195,70,,,,False
196,70,,,,False
197,70,5,14,+1,True
198,71,,,,False
199,71,5,14,+1,True
200,71,5,14,+1,True
201,72,,,,False
202,72,5,14,+1,True
203,72,5,14,+1,True
204,73,,,,False
205,73,5,14,+1,True
206,73,5,14,+1,True
207,74,,,,False
208,74,5,14,+1,True
209,75,,,,False
210,75,,,,False
211,75,5,14,+1,True
212,76,,,,False
213,76,5,14,+1,True
214,76,5,14,+1,True
215,77,,,,False
216,77,5,14,+1,True
217,77,5,14,+1,True
218,78,,,,False
219,78,5,14,+1,True
220,78,5,14,+1,True
221,79,,,,False
222,79,5,14,+1,True
223,79,5,14,+1,True
224,80,,,,False
225,80,5,14,+1,True
226,81,,,,False
227,81,5,14,+1,True
228,81,5,14,+1,True
229,82,,,,False
230,82,5,14,+1,True
231,82,5,14,+1,True
232,83,,,,False
233,83,5,14,+1,True
234,83,5,14,+1,True
235,84,,,,False
236,84,5,14,+1,True
237,84,5,14,+1,True
238,85,,,,False
239,85,5,14,+1,True
240,86,,,,False
241,86,5,14,+1,True
242,86,5,14,+1,True
243,87,,,,False
244,87,5,14,+1,True
245,87,5,14,+1,True
246,88,,,,False
247,88,5,14,+1,True
248,88,5,14,+1,True
249,89,,,,False
250,89,5,14,+1,True
251,89,5,14,+1,True
252,90,,,,False
253,90,5,14,+1,True
254,90,5,14,+1,True
255,91,5,14,+1,True
256,91,5,14,+1,True
257,92,,,,False
258,92,5,14,+1,True
259,92,5,14,+1,True
260,93,,,,False
261,93,5,14,+1,True
262,93,5,14,+1,True
263,94,,,,False
264,94,5,14,+1,True
265,94,5,14,+1,True
266,95,,,,False
267,95,5,14,+1,True
268,95,5,14,+1,True
269,96,5,14,+1,True
270,96,5,14,+1,True
271,97,,,,False
272,97,5,14,+1,True
273,97,5,14,+1,True
274,98,,,,False
275,98,5,14,+1,True
276,98,5,14,+1,True
277,99,,,,False
278,99,5,14,+1,True
279,99,5,14,+1,True
280,100,,,,False
281,100,5,14,+1,True
282,100,5,14,+1,True
283,101,5,14,+1,True
284,101,5,14,+1,True
285,101,5,14,+1,True
286,102,5,14,+1,True
287,102,5,14,+1,True
288,103,,,,False
289,103,5,14,+1,True
290,103,5,14,+1,True
291,104,,,,False
292,104,5,14,+1,True
293,104,5,14,+1,True
294,105,,,,False
295,105,5,14,+1,True
296,105,5,14,+1,True
297,106,5,14,+1,True
298,106,5,14,+1,True
299,106,5,14,+1,True
300,107,5,14,+1,True
