m,L,owner_p,owner_q,owner_sign,matched
2,2,,,,False
3,3,,,,False
4,4,,,,False
5,4,1,1,+1,True
6,5,1,1,+1,True
7,6,1,1,+1,True
8,7,1,1,+1,True
9,7,,,,False
10,8,,,,False
11,9,,,,False
12,10,,,,False
13,10,,,,False
14,11,,,,False
15,12,,,,False
16,13,,,,False
17,13,,,,False
18,14,,,,False
19,15,,,,False
20,16,,,,False
21,17,,,,False
22,17,,,,False
23,18,,,,False
24,19,,,,False
25,20,,,,False
26,20,,,,False
27,21,,,,False
28,22,,,,False
29,23,,,,False
30,23,,,,False
31,24,,,,False
32,25,,,,False
33,26,,,,False
34,26,,,,False
35,27,,,,False
36,28,,,,False
37,29,,,,False
38,30,,,,False
39,30,,,,False
40,31,,,,False
41,32,,,,False
42,33,,,,False
43,33,,,,False
44,34,,,,False
45,35,,,,False
46,36,,,,False
47,36,,,,False
48,37,,,,False
49,38,,,,False
50,39,,,,False
51,39,,,,False
52,40,,,,False
53,41,,,,False
54,42,,,,False
55,43,,,,False
56,43,,,,False
57,44,,,,False
58,45,,,,False
59,46,,,,False
60,46,,,,False
61,47,,,,False
62,48,,,,False
63,49,,,,False
64,49,,,,False
65,50,,,,False
66,51,,,,False
67,52,,,,False
68,52,,,,False
69,53,,,,False
70,54,,,,False
71,55,,,,False
72,56,,,,False
73,56,,,,False
74,57,,,,False
75,58,,,,False
76,59,,,,False
77,59,,,,False
78,60,,,,False
79,61,,,,False
80,62,,,,False
81,62,,,,False
82,63,,,,False
83,64,,,,False
84,65,,,,False
85,65,,,,False
86,66,,,,False
87,67,,,,False
88,68,,,,False
89,68,13,17,+1,True
90,69,,,,False
91,70,,,,False
92,71,,,,False
93,72,,,,False
94,72,,,,False
95,73,,,,False
96,74,,,,False
97,75,,,,False
98,75,,,,False
99,76,,,,False
100,77,,,,False
101,78,,,,False
102,78,,,,False
103,79,,,,False
104,80,,,,False
105,81,,,,False
106,81,13,17,+1,True
107,82,,,,False
108,83,,,,False
109,84,,,,False
110,85,,,,False
111,85,,,,False
112,86,,,,False
113,87,,,,False
114,88,,,,False
115,88,,,,False
116,89,,,,False
117,90,,,,False
118,91,,,,False
119,91,,,,False
120,92,,,,False
121,93,,,,False
122,94,,,,False
123,94,13,17,+1,True
124,95,,,,False
125,96,,,,False
126,97,,,,False
127,98,,,,False
128,98,,,,False
129,99,,,,False
130,100,,,,False
131,101,,,,False
132,101,,,,False
133,102,,,,False
134,103,,,,False
135,104,,,,False
136,104,,,,False
137,105,,,,False
138,106,,,,False
139,107,,,,False
140,107,13,17,+1,True
141,108,,,,False
142,109,,,,False
143,110,,,,False
144,111,,,,False
145,111,,,,False
146,112,,,,False
147,113,,,,False
148,114,,,,False
149,114,,,,False
150,115,,,,False
151,116,,,,False
152,117,,,,False
153,117,,,,False
154,118,,,,False
155,119,,,,False
156,120,,,,False
157,120,13,17,+1,True
158,121,,,,False
159,122,,,,False
160,123,,,,False
161,123,13,17,+1,True
162,124,,,,False
163,125,,,,False
164,126,,,,False
165,127,,,,False
166,127,,,,False
167,128,,,,False
168,129,,,,False
169,130,,,,False
170,130,,,,False
171,131,,,,False
172,132,,,,False
173,133,,,,False
174,133,13,17,+1,True
175,134,,,,False
176,135,,,,False
177,136,,,,False
178,136,13,17,+1,True
179,137,,,,False
180,138,,,,False
181,139,,,,False
182,140,,,,False
183,140,,,,False
184,141,,,,False
185,142,,,,False
186,143,,,,False
187,143,,,,False
188,144,,,,False
189,145,,,,False
190,146,,,,False
191,146,13,17,+1,True
192,147,,,,False
193,148,,,,False
194,149,,,,False
195,149,13,17,+1,True
196,150,,,,False
197,151,,,,False
198,152,,,,False
199,153,,,,False
200,153,,,,False
201,154,,,,False
202,155,,,,False
203,156,,,,False
204,156,,,,False
205,157,,,,False
206,158,,,,False
207,159,,,,False
208,159,13,17,+1,True
209,160,,,,False
210,161,,,,False
211,162,,,,False
212,162,13,17,+1,True
213,163,,,,False
214,164,,,,False
215,165,,,,False
216,166,,,,False
217,166,,,,False
218,167,,,,False
219,168,,,,False
220,169,,,,False
221,169,,,,False
222,170,,,,False
223,171,,,,False
224,172,,,,False
225,172,13,17,+1,True
226,173,,,,False
227,174,,,,False
228,175,,,,False
229,175,13,17,+1,True
230,176,,,,False
231,177,,,,False
232,178,,,,False
233,178,13,17,+1,True
234,179,,,,False
235,180,,,,False
236,181,,,,False
237,182,,,,False
238,182,,,,False
239,183,,,,False
240,184,,,,False
241,185,,,,False
242,185,13,17,+1,True
243,186,,,,False
244,187,,,,False
245,188,,,,False
246,188,13,17,+1,True
247,189,,,,False
248,190,,,,False
249,191,,,,False
250,191,13,17,+1,True
251,192,,,,False
252,193,,,,False
253,194,,,,False
254,195,,,,False
255,195,,,,False
256,196,,,,False
257,197,,,,False
258,198,,,,False
259,198,13,17,+1,True
260,199,,,,False
261,200,,,,False
262,201,,,,False
263,201,13,17,+1,True
264,202,,,,False
265,203,,,,False
266,204,,,,False
267,204,13,17,+1,True
268,205,,,,False
269,206,,,,False
270,207,,,,False
271,208,,,,False
272,208,,,,False
273,209,,,,False
274,210,,,,False
275,211,,,,False
276,211,13,17,+1,True
277,212,,,,False
278,213,,,,False
279,214,,,,False
280,214,13,17,+1,True
281,215,,,,False
282,216,,,,False
283,217,,,,False
284,217,13,17,+1,True
285,218,,,,False
286,219,,,,False
287,220,,,,False
288,221,,,,False
289,221,,,,False
290,222,,,,False
291,223,,,,False
292,224,,,,False
293,224,13,17,+1,True
294,225,,,,False
295,226,,,,False
296,227,,,,False
297,227,13,17,+1,True
298,228,,,,False
299,229,,,,False
300,230,,,,False
