source,start_n,k,a,c,d_before,d_after,C_before,at_ceiling
high_reserve,246666523,92,1,2,17,18,17,True
high_reserve,246666523,94,1,2,18,19,18,True
high_reserve,246666523,95,1,2,19,20,19,True
high_reserve,246666523,102,1,2,20,21,20,True
high_reserve,246666523,105,1,2,21,22,21,True
high_reserve,246666523,129,1,2,22,23,22,True
high_reserve,319804831,1,1,2,0,1,0,True
high_reserve,319804831,3,1,2,1,2,1,True
high_reserve,319804831,8,1,2,2,3,2,True
high_reserve,319804831,10,1,2,3,4,3,True
high_reserve,319804831,11,1,2,4,5,4,True
high_reserve,319804831,13,1,2,5,6,5,True
high_reserve,319804831,22,1,2,6,7,6,True
high_reserve,319804831,23,1,2,7,8,7,True
high_reserve,319804831,27,1,2,8,9,8,True
high_reserve,319804831,30,1,2,9,10,9,True
high_reserve,319804831,35,1,2,10,11,10,True
high_reserve,319804831,37,1,2,11,12,11,True
high_reserve,319804831,41,1,2,12,13,12,True
high_reserve,319804831,42,1,2,13,14,13,True
high_reserve,319804831,44,1,2,14,15,14,True
high_reserve,319804831,46,1,2,15,16,15,True
high_reserve,319804831,47,1,2,16,17,16,True
high_reserve,319804831,49,1,2,17,18,17,True
high_reserve,319804831,51,1,2,18,19,18,True
high_reserve,319804831,52,1,2,19,20,19,True
high_reserve,319804831,54,1,2,20,21,20,True
high_reserve,319804831,56,1,2,21,22,21,True
high_reserve,319804831,58,1,2,22,23,22,True
high_reserve,319804831,59,1,2,23,24,23,True
high_reserve,319804831,63,1,2,24,25,24,True
high_reserve,319804831,66,1,2,25,26,25,True
high_reserve,319804831,70,1,2,26,27,26,True
high_reserve,319804831,71,1,2,27,28,27,True
high_reserve,319804831,73,1,2,28,29,28,True
high_reserve,319804831,75,1,2,29,30,29,True
high_reserve,77566362559,1,1,2,0,1,0,True
high_reserve,77566362559,3,1,2,1,2,1,True
high_reserve,77566362559,6,1,2,2,3,2,True
high_reserve,77566362559,13,1,2,3,4,3,True
high_reserve,77566362559,22,1,2,4,5,4,True
high_reserve,77566362559,35,1,2,5,6,5,True
high_reserve,77566362559,37,1,2,6,7,6,True
high_reserve,77566362559,46,1,2,7,8,7,True
high_reserve,77566362559,47,1,2,8,9,8,True
high_reserve,77566362559,49,1,2,9,10,9,True
high_reserve,77566362559,58,1,2,10,11,10,True
high_reserve,77566362559,59,1,2,11,12,11,True
high_reserve,77566362559,61,1,2,12,13,12,True
high_reserve,77566362559,63,1,2,13,14,13,True
high_reserve,77566362559,64,1,2,14,15,14,True
high_reserve,77566362559,66,1,2,15,16,15,True
high_reserve,77566362559,70,1,2,16,17,16,True
high_reserve,77566362559,71,1,2,17,18,17,True
high_reserve,77566362559,73,1,2,18,19,18,True
high_reserve,77566362559,75,1,2,19,20,19,True
high_reserve,77566362559,87,1,2,20,21,20,True
high_reserve,77566362559,88,1,2,21,22,21,True
high_reserve,77566362559,90,1,2,22,23,22,True
high_reserve,77566362559,92,1,2,23,24,23,True
high_reserve,77566362559,94,1,2,24,25,24,True
high_reserve,77566362559,95,1,2,25,26,25,True
high_reserve,77566362559,99,1,2,26,27,26,True
high_reserve,77566362559,100,1,2,27,28,27,True
high_reserve,77566362559,117,1,2,28,29,28,True
high_reserve,77566362559,124,1,2,29,30,29,True
high_reserve,77566362559,126,1,2,30,31,30,True
breach,2591,1,1,2,0,1,0,True
breach,2591,3,1,2,1,2,1,True
breach,7451,3,1,2,0,1,0,True
breach,7451,5,1,2,1,2,1,True
breach,7451,6,1,2,2,3,2,True
breach,4967,1,1,2,0,1,0,True
breach,4967,5,1,2,1,2,1,True
breach,4967,6,1,2,2,3,2,True
breach,3311,1,1,2,0,1,0,True
breach,3311,5,1,2,1,2,1,True
breach,3311,6,1,2,2,3,2,True
breach,3311,8,1,2,3,4,3,True
breach,73979,5,1,2,0,1,0,True
breach,73979,6,1,2,1,2,1,True
breach,73979,8,1,2,2,3,2,True
