N,count_covered,density,complement_count,complement_density
191,4999733,0.999946600000,267,0.000053400000
192,4999755,0.999951000000,245,0.000049000000
193,4999769,0.999953800000,231,0.000046200000
194,4999786,0.999957200000,214,0.000042800000
195,4999817,0.999963400000,183,0.000036600000
196,4999835,0.999967000000,165,0.000033000000
197,4999854,0.999970800000,146,0.000029200000
198,4999859,0.999971800000,141,0.000028200000
199,4999869,0.999973800000,131,0.000026200000
200,4999888,0.999977600000,112,0.000022400000
