family,m,target_r,D_actual,model_prediction,best_ray,entry_len,entry_cost,ray_cost,candidates
sqrt2-per12,9,17,5,0,-1,6,0,0,"[('+1', 4, 5, 3, 8), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,9,19,4,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,20,3,1,-1,6,1,0,"[('+1', 5, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,22,4,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,23,6,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,25,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,9,26,3,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,28,5,1,-1,6,1,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,29,4,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,9,31,6,4,+1,6,2,2,"[('+1', 6, 2, 2, 4), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,32,6,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,34,7,6,-1,6,6,0,"[('+1', 6, 7, 2, 9), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,9,35,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,37,5,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,9,38,3,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,9,40,5,3,+1,5,1,2,"[('+1', 5, 1, 2, 3), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,9,41,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,43,5,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,44,3,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,9,46,5,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,9,47,5,1,-1,6,1,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,49,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,50,7,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,52,7,9,+1,6,7,2,"[('+1', 6, 7, 2, 9)]"
sqrt2-per12,9,53,5,3,-1,6,3,0,"[('+1', 4, 1, 3, 4), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,55,6,4,-1,6,4,0,"[('+1', 5, 3, 2, 5), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,56,4,0,-1,6,0,0,"[('+1', 6, 1, 2, 3), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,9,58,5,1,-1,6,1,0,"[('+1', 4, 4, 3, 7), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,59,5,4,-1,6,4,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,61,6,1,-1,6,1,0,"[('+1', 4, 5, 3, 8), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,62,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,64,5,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,65,4,3,+1,5,1,2,"[('+1', 5, 1, 2, 3), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,9,68,6,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,9,70,8,6,-1,6,6,0,"[('+1', 5, 8, 2, 10), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,9,71,4,1,-1,6,1,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,73,6,3,-1,6,3,0,"[('+1', 5, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,9,74,4,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,76,2,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,9,77,4,0,-1,6,0,0,"[('+1', 3, 4, 4, 8), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,9,79,7,10,+1,6,8,2,"[('+1', 6, 8, 2, 10)]"
sqrt2-per12,9,80,4,2,+1,5,0,2,"[('+1', 5, 0, 2, 2), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,1,5,3,-1,6,3,0,"[('+1', 0, 0, 5, 5), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,2,4,2,-1,6,2,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,4,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,10,5,5,3,-1,6,3,0,"[('+1', 5, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,7,8,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,8,4,2,+1,6,0,2,"[('+1', 6, 0, 2, 2), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,10,4,2,-1,6,2,0,"[('+1', 5, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,11,5,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,13,5,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,14,7,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,16,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,17,5,0,-1,6,0,0,"[('+1', 4, 5, 3, 8), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,10,19,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,20,3,1,-1,6,1,0,"[('+1', 5, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,22,4,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,23,7,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,25,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,26,4,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,1,5,3,-1,6,3,0,"[('+1', 0, 0, 5, 5), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,2,4,2,-1,6,2,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,4,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,10,5,5,3,-1,6,3,0,"[('+1', 5, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,7,8,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,8,4,2,+1,6,0,2,"[('+1', 6, 0, 2, 2), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,10,4,2,-1,6,2,0,"[('+1', 5, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,11,5,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,13,5,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,14,7,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,16,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,17,5,0,-1,6,0,0,"[('+1', 4, 5, 3, 8), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,10,19,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,20,3,1,-1,6,1,0,"[('+1', 5, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,22,4,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,23,7,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,25,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,26,4,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,28,6,1,-1,6,1,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,29,4,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,31,6,4,+1,6,2,2,"[('+1', 6, 2, 2, 4), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,32,7,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,34,9,6,-1,6,6,0,"[('+1', 6, 7, 2, 9), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,10,35,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,37,5,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,38,5,2,-1,6,2,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,40,6,3,+1,5,1,2,"[('+1', 5, 1, 2, 3), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,41,6,3,-1,6,3,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,43,5,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,44,3,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,46,6,2,-1,6,2,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,10,47,5,1,-1,6,1,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,49,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,50,7,4,-1,6,4,0,"[('+1', 6, 5, 2, 7), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,53,5,3,-1,6,3,0,"[('+1', 4, 1, 3, 4), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,55,6,4,-1,6,4,0,"[('+1', 5, 3, 2, 5), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,56,5,0,-1,6,0,0,"[('+1', 6, 1, 2, 3), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,10,58,5,1,-1,6,1,0,"[('+1', 4, 4, 3, 7), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,59,5,4,-1,6,4,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,61,6,1,-1,6,1,0,"[('+1', 4, 5, 3, 8), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,62,5,3,+1,6,1,2,"[('+1', 6, 1, 2, 3), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,64,6,3,-1,6,3,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,65,4,3,+1,5,1,2,"[('+1', 5, 1, 2, 3), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,67,5,4,-1,6,4,0,"[('+1', 6, 4, 2, 6), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,10,68,8,5,-1,6,5,0,"[('+1', 6, 6, 2, 8), ('-1', 6, 5, 0, 5)]"
sqrt2-per12,10,70,8,6,-1,6,6,0,"[('+1', 5, 8, 2, 10), ('-1', 6, 6, 0, 6)]"
sqrt2-per12,10,71,4,1,-1,6,1,0,"[('+1', 6, 2, 2, 4), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,73,6,3,-1,6,3,0,"[('+1', 5, 5, 2, 7), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,10,74,4,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,76,4,1,-1,6,1,0,"[('+1', 6, 3, 2, 5), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,10,77,4,0,-1,6,0,0,"[('+1', 3, 4, 4, 8), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,10,79,9,10,+1,6,8,2,"[('+1', 6, 8, 2, 10)]"
sqrt2-per12,10,80,5,2,+1,5,0,2,"[('+1', 5, 0, 2, 2), ('-1', 6, 4, 0, 4)]"
