alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree,direction
"{1,2,3}",5,13222,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,13231,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,13312,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,13321,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,13331,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,21113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,21331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,22123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,22132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,22213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",5,22223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,22333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23113,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23123,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23132,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23133,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23213,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23222,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23223,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23232,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23233,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23313,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23322,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23323,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23332,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,23333,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31113,2,2,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31123,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31132,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31213,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,31333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32113,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32123,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32132,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32133,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32213,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32222,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32223,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32232,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32233,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32313,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32322,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32323,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32332,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,32333,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33123,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33132,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33133,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33213,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33222,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33223,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33232,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33233,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33313,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33322,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33323,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33332,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",5,33333,0,0,False,-5,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,111113,4,5,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111123,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111132,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111133,2,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111213,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111223,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111232,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111233,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111313,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111322,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111323,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111331,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111332,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,111333,0,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112113,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112123,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112132,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112133,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112213,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112223,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112232,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112233,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112313,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112322,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112323,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112331,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,112332,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113222,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113223,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113231,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113232,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113312,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113313,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113321,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,113322,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121113,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121123,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121132,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121133,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121213,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121223,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121232,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121233,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121313,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121322,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121323,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121331,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,121332,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,122331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,123113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,123123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,123132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,123213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,123222,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,123231,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,123312,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,123321,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,123331,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,131113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,131331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,132113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,132123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,132132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,132213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,132222,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,132231,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,132312,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,132321,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,132331,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133113,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133122,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133131,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133212,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133221,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133231,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133312,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133321,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,133331,1,1,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,211113,3,4,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211123,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211132,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211133,1,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211213,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211223,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211232,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211233,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211313,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211322,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211323,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211331,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,211332,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,212331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,213113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,213123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,213132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,213213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,213222,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,213231,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,213312,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
