family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,entry_len,entry_cost,ray_cost,entry_precision_note
sqrt2-per12,8,27,17,3,0,False,-1,6,0,0,
sqrt2-per12,8,27,19,4,3,False,-1,6,3,0,
sqrt2-per12,8,27,20,3,1,False,-1,6,1,0,
sqrt2-per12,8,27,22,4,3,False,-1,6,3,0,
sqrt2-per12,8,27,23,6,3,False,-1,6,3,0,
sqrt2-per12,8,27,25,8,5,False,-1,6,5,0,
sqrt2-per12,8,27,26,2,1,False,-1,6,1,0,
sqrt2-per12,8,81,1,4,3,False,-1,6,3,0,
sqrt2-per12,8,81,2,3,2,False,-1,6,2,0,
sqrt2-per12,8,81,4,4,2,False,+1,6,1,1,
sqrt2-per12,8,81,5,5,3,False,-1,6,3,0,
sqrt2-per12,8,81,7,6,3,False,-1,6,3,0,
sqrt2-per12,8,81,8,3,1,False,+1,6,0,1,
sqrt2-per12,8,81,10,4,2,False,-1,6,2,0,
sqrt2-per12,8,81,11,5,4,False,-1,6,4,0,
sqrt2-per12,8,81,13,3,2,False,-1,6,2,0,
sqrt2-per12,8,81,14,5,2,False,-1,6,2,0,
sqrt2-per12,8,81,16,6,5,False,-1,6,5,0,
sqrt2-per12,8,81,17,3,0,False,-1,6,0,0,
sqrt2-per12,8,81,19,4,3,False,-1,6,3,0,
sqrt2-per12,8,81,20,3,1,False,-1,6,1,0,
sqrt2-per12,8,81,22,4,3,False,-1,6,3,0,
sqrt2-per12,8,81,23,6,3,False,-1,6,3,0,
sqrt2-per12,8,81,25,8,5,False,-1,6,5,0,
sqrt2-per12,8,81,26,2,1,False,-1,6,1,0,
sqrt2-per12,8,81,28,4,1,False,-1,6,1,0,
sqrt2-per12,8,81,29,4,2,False,-1,6,2,0,
sqrt2-per12,8,81,31,5,3,False,+1,6,2,1,
sqrt2-per12,8,81,32,5,4,False,-1,6,4,0,
sqrt2-per12,8,81,34,7,6,False,-1,6,6,0,
sqrt2-per12,8,81,35,6,3,False,-1,6,3,0,
sqrt2-per12,8,81,37,5,2,False,-1,6,2,0,
sqrt2-per12,8,81,38,3,2,False,-1,6,2,0,
sqrt2-per12,8,81,40,4,2,False,+1,5,1,1,
sqrt2-per12,8,81,41,6,3,False,-1,6,3,0,
sqrt2-per12,8,81,43,5,3,False,-1,6,3,0,
sqrt2-per12,8,81,44,3,2,False,-1,6,2,0,
sqrt2-per12,8,81,46,5,2,False,-1,6,2,0,
sqrt2-per12,8,81,47,4,1,False,-1,6,1,0,
sqrt2-per12,8,81,49,4,2,False,+1,6,1,1,
sqrt2-per12,8,81,50,7,4,False,-1,6,4,0,
sqrt2-per12,8,81,52,6,8,False,+1,6,7,1,
sqrt2-per12,8,81,53,4,3,False,+1,4,1,2,
sqrt2-per12,8,81,55,6,4,False,+1,5,3,1,
sqrt2-per12,8,81,56,3,0,False,-1,6,0,0,
sqrt2-per12,8,81,58,5,1,False,-1,6,1,0,
sqrt2-per12,8,81,59,5,4,False,+1,6,3,1,
sqrt2-per12,8,81,61,5,1,False,-1,6,1,0,
sqrt2-per12,8,81,62,4,2,False,+1,6,1,1,
sqrt2-per12,8,81,64,4,3,False,-1,6,3,0,
sqrt2-per12,8,81,65,4,2,False,+1,5,1,1,
sqrt2-per12,8,81,67,4,4,True,-1,6,4,0,
sqrt2-per12,8,81,68,6,5,False,-1,6,5,0,
sqrt2-per12,8,81,70,8,6,False,-1,6,6,0,
sqrt2-per12,8,81,71,3,1,False,-1,6,1,0,
sqrt2-per12,8,81,73,6,3,False,-1,6,3,0,
sqrt2-per12,8,81,74,4,1,False,-1,6,1,0,
sqrt2-per12,8,81,76,2,1,False,-1,6,1,0,
sqrt2-per12,8,81,77,4,0,False,-1,6,0,0,
sqrt2-per12,8,81,79,7,9,False,+1,6,8,1,
sqrt2-per12,8,81,80,3,1,False,+1,5,0,1,
sqrt2-per12,9,27,1,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,2,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,4,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,5,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,7,7,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,8,4,2,False,+1,6,0,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,10,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,11,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,13,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,14,6,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,16,7,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,17,5,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,19,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,20,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,22,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,23,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,25,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,27,26,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,1,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,2,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,4,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,5,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,7,7,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,8,4,2,False,+1,6,0,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,10,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,11,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,13,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,14,6,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,16,7,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,17,5,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,19,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,20,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,22,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,23,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,25,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,26,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,28,5,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,29,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,31,6,4,False,+1,6,2,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,32,6,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,34,7,6,False,-1,6,6,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,35,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,37,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,38,3,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,40,5,3,False,+1,5,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,41,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,43,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,44,3,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,46,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,47,5,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,49,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,50,7,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,52,7,9,False,+1,6,7,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,53,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,55,6,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,56,4,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,58,5,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,59,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,61,6,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,62,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,64,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,65,4,3,False,+1,5,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,67,4,4,True,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,68,6,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,70,8,6,False,-1,6,6,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,71,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,73,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,74,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,76,2,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,77,4,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,79,7,10,False,+1,6,8,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,9,81,80,4,2,False,+1,5,0,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,1,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,2,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,4,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,5,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,7,8,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,8,4,2,False,+1,6,0,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,10,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,11,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,13,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,14,7,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,16,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,17,5,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,19,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,20,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,22,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,23,7,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,25,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,27,26,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,1,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,2,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,4,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,5,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,7,8,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,8,4,2,False,+1,6,0,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,10,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,11,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,13,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,14,7,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,16,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,17,5,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,19,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,20,3,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,22,4,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,23,7,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,25,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,26,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,28,6,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,29,4,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,31,6,4,False,+1,6,2,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,32,7,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,34,9,6,False,-1,6,6,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,35,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,37,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,38,5,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,40,6,3,False,+1,5,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,41,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,43,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,44,3,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,46,6,2,False,-1,6,2,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,47,5,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,49,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,50,7,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,52,9,9,True,+1,6,7,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,53,5,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,55,6,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,56,5,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,58,5,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,59,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,61,6,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,62,5,3,False,+1,6,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,64,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,65,4,3,False,+1,5,1,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,67,5,4,False,-1,6,4,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,68,8,5,False,-1,6,5,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,70,8,6,False,-1,6,6,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,71,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,73,6,3,False,-1,6,3,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,74,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,76,4,1,False,-1,6,1,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,77,4,0,False,-1,6,0,0,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,79,9,10,False,+1,6,8,2,"m>8, entry mod-3^8-reduced target"
sqrt2-per12,10,81,80,5,2,False,+1,5,0,2,"m>8, entry mod-3^8-reduced target"
