m,irrational,0/1,1/3,1/4,3/11,4/15
2,0,-1,0,0,0,0
3,0,-1,0,0,0,0
4,1,-1,1,0,1,1
5,1,-1,1,1,1,1
6,1,-1,1,1,1,1
7,1,-1,2,1,1,1
8,2,-1,2,1,2,2
9,2,-1,2,2,2,2
10,2,-1,3,2,2,2
11,2,-1,3,2,2,2
12,3,-1,3,2,3,3
13,3,-1,4,3,3,3
14,3,-1,4,3,3,3
15,4,-1,4,3,4,3
