C,M,delta_M,class
1,4,,
2,7,3,small
3,9,2,small
4,12,3,small
5,14,2,small
6,16,2,small
7,19,3,small
8,21,2,small
9,24,3,small
10,26,2,small
11,57,31,large
12,63,6,large
13,68,5,large
14,71,3,small
15,79,8,large
16,93,14,large
17,108,15,large
18,110,2,small
19,130,20,large
20,132,2,small
21,139,7,large
22,157,18,large
23,163,6,large
24,188,25,large
25,192,4,large
26,205,13,large
27,208,3,small
28,263,55,large
29,265,2,small
30,282,17,large
31,284,2,small
