start_n,step_k,C_before,C_after,d_before,d_after,a_k,c_k,x_entry,x_exit,residue_mod,residue_next_mod,m_used,source,delta_before,delta_after,in_shell_before,in_shell_after,D_m,near_ceil_before,near_ceil_after,returned_200,return_steps,return_reason
210964383,1,0,1,0,1,1,2,316446575,474669863,68,467,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
210964383,3,1,2,1,2,1,2,712004795,1068007193,701,323,6,high_reserve,0,0,True,False,2,True,True,True,1,d_le_C_before
210964383,10,2,3,2,3,1,2,1520658683,2280988025,404,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,15,3,4,3,4,1,2,2886875471,4330313207,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,17,4,5,4,5,1,2,6495469811,9743204717,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,25,5,6,5,6,1,2,10404486683,15606730025,395,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,29,6,7,6,7,1,2,26336356919,39504535379,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,30,7,8,7,8,1,2,39504535379,59256803069,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,35,8,9,8,9,1,2,74996891387,112495337081,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,52,9,10,9,10,1,2,144319396895,216479095343,269,404,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,54,10,11,10,11,1,2,324718643015,487077964523,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,59,11,12,11,12,1,2,616458048851,924687073277,137,206,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,64,12,13,12,13,1,2,1170307077119,1755460615679,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,66,13,14,13,14,1,2,2633190923519,3949786385279,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,68,14,15,14,15,1,2,5924679577919,8887019366879,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,70,15,16,15,16,1,2,13330529050319,19995793575479,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,71,16,17,16,17,1,2,19995793575479,29993690363219,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
