label,family,N,m,steps,D,d_rat,support_start,support_end,method,elapsed_sec
heartbeat,hybrid_fwd,106,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,350,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,357,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,358,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,359,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
