family,m,target_r,D_actual,model,diff,mechanism,ray_touches,chain
golden-per8,6,41,4,1,-3,D_no_ray_contact,,"2,2;1,3;2,2;1,2;2,2;2,3"
golden-per8,6,43,4,1,-3,D_no_ray_contact,,"2,2;1,2;2,3;1,1;2,2;2,4"
golden-per8,6,44,1,-2,-3,D_no_ray_contact,,"2,1;1,2;2,1;1,4;2,1;2,1"
golden-per8,6,46,3,1,-2,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1,"2,2;1,2;2,2;1,2;2,1;2,4"
golden-per8,6,47,1,-1,-2,D_no_ray_contact,,"2,2;1,2;2,2;1,1;2,1;2,3"
golden-per8,6,49,2,-1,-3,D_no_ray_contact,,"2,1;1,1;2,2;1,4;2,1;2,2"
golden-per8,6,50,4,2,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,1;2,3;2,5"
golden-per8,6,52,4,1,-3,D_no_ray_contact,,"2,1;1,1;2,2;1,2;2,1;2,6"
golden-per8,6,53,2,0,-2,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1,"2,2;1,2;2,1;1,5;2,1;2,1"
golden-per8,6,55,5,2,-3,D_no_ray_contact,,"2,2;1,3;2,2;1,4;2,2;2,2"
golden-per8,6,56,1,-1,-2,D_no_ray_contact,,"2,2;1,1;2,3;1,2;2,2;2,1"
golden-per8,6,58,4,1,-3,D_no_ray_contact,,"2,1;1,1;2,2;1,4;2,3;2,2"
golden-per8,6,59,3,0,-3,D_no_ray_contact,,"2,2;1,3;2,2;1,1;2,2;2,3"
golden-per8,6,61,4,1,-3,D_no_ray_contact,,"2,1;1,2;2,2;1,2;2,2;2,4"
golden-per8,6,62,2,-1,-3,D_no_ray_contact,,"2,1;1,2;2,2;1,2;2,3;2,1"
golden-per8,6,64,4,1,-3,D_no_ray_contact,,"2,2;1,3;2,2;1,3;2,2;2,2"
golden-per8,6,65,3,0,-3,D_no_ray_contact,,"2,2;1,3;2,1;1,2;2,4;2,1"
golden-per8,6,67,1,-1,-2,D_no_ray_contact,,"2,2;1,1;2,2;1,3;2,1;2,2"
golden-per8,6,68,3,1,-2,D_no_ray_contact,,"2,2;1,1;2,2;1,1;2,4;2,3"
golden-per8,6,70,4,2,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,3;2,2;2,4"
golden-per8,6,71,0,-2,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,1;2,3;2,1"
golden-per8,6,73,4,2,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,1;2,6;2,2"
