family,m,D0,shapeA,pA,shapeB,pB,gap,taxA,taxB,tax_joint,delta,status
real-word,16,6,s1,1,s3,9,3,4,5,20,11,OK
real-word,16,6,s1,1,s3,10,4,4,6,21,11,OK
real-word,16,6,s2,0,s1,6,0,3,2,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s1,7,1,3,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s1,8,2,3,3,47,41,OK
real-word,16,6,s2,0,s1,9,3,3,3,41,35,OK
real-word,16,6,s2,0,s1,10,4,3,2,33,28,OK
real-word,16,6,s2,1,s1,7,0,2,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s1,8,1,2,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s1,9,2,2,3,46,41,OK
real-word,16,6,s2,1,s1,10,3,2,2,42,38,OK
real-word,16,6,s2,1,s1,11,4,2,2,24,20,OK
real-word,16,6,s2,0,s2,6,0,3,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s2,7,1,3,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s2,8,2,3,2,45,40,OK
real-word,16,6,s2,0,s2,9,3,3,2,42,37,OK
real-word,16,6,s2,0,s2,10,4,3,3,34,28,OK
real-word,16,6,s2,1,s2,7,0,2,3,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s2,8,1,2,2,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s2,9,2,2,2,45,41,OK
real-word,16,6,s2,1,s2,10,3,2,3,43,38,OK
real-word,16,6,s2,0,s3,6,0,3,5,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s3,7,1,3,5,,,JOINT_INFEASIBLE
real-word,16,6,s2,0,s3,8,2,3,5,50,42,OK
real-word,16,6,s2,0,s3,9,3,3,5,45,37,OK
real-word,16,6,s2,0,s3,10,4,3,6,37,28,OK
real-word,16,6,s2,1,s3,7,0,2,5,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s3,8,1,2,5,,,JOINT_INFEASIBLE
real-word,16,6,s2,1,s3,9,2,2,5,48,41,OK
real-word,16,6,s2,1,s3,10,3,2,6,46,38,OK
real-word,16,6,s3,0,s1,6,0,7,2,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s1,7,1,7,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s1,8,2,7,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s1,9,3,7,3,34,24,OK
real-word,16,6,s3,0,s1,10,4,7,2,31,22,OK
real-word,16,6,s3,1,s1,7,0,8,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s1,8,1,8,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s1,9,2,8,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s1,10,3,8,2,35,25,OK
real-word,16,6,s3,1,s1,11,4,8,2,30,20,OK
real-word,16,6,s3,0,s2,6,0,7,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s2,7,1,7,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s2,8,2,7,2,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s2,9,3,7,2,76,67,OK
real-word,16,6,s3,0,s2,10,4,7,3,39,29,OK
real-word,16,6,s3,1,s2,7,0,8,3,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s2,8,1,8,2,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s2,9,2,8,2,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s2,10,3,8,3,36,25,OK
real-word,16,6,s3,0,s3,6,0,7,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s3,7,1,7,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s3,8,2,7,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,0,s3,9,3,7,5,38,26,OK
real-word,16,6,s3,0,s3,10,4,7,6,42,29,OK
real-word,16,6,s3,1,s3,7,0,8,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s3,8,1,8,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s3,9,2,8,5,,,JOINT_INFEASIBLE
real-word,16,6,s3,1,s3,10,3,8,6,39,25,OK
sqrt2-per12,14,8,s1,0,s1,5,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s1,6,1,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s1,7,2,3,3,24,18,OK
sqrt2-per12,14,8,s1,0,s1,8,3,3,1,16,12,OK
sqrt2-per12,14,8,s1,0,s1,9,4,3,2,13,8,OK
sqrt2-per12,14,8,s1,1,s1,6,0,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s1,7,1,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s1,8,2,3,1,25,21,OK
sqrt2-per12,14,8,s1,1,s1,9,3,3,2,17,12,OK
sqrt2-per12,14,8,s1,0,s2,5,0,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s2,6,1,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s2,7,2,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s2,8,3,3,2,17,12,OK
sqrt2-per12,14,8,s1,1,s2,6,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s2,7,1,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s2,8,2,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s3,5,0,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s3,6,1,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s3,7,2,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,0,s3,8,3,3,5,20,12,OK
sqrt2-per12,14,8,s1,1,s3,6,0,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s3,7,1,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s1,1,s3,8,2,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s1,6,0,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s1,7,1,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s1,8,2,2,1,44,41,OK
sqrt2-per12,14,8,s2,0,s1,9,3,2,2,42,38,OK
sqrt2-per12,14,8,s2,1,s1,7,0,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,1,s1,8,1,2,1,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,1,s1,9,2,2,2,45,41,OK
sqrt2-per12,14,8,s2,0,s2,6,0,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s2,7,1,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s2,8,2,2,2,45,41,OK
sqrt2-per12,14,8,s2,1,s2,7,0,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,1,s2,8,1,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,0,s3,8,2,2,5,48,41,OK
sqrt2-per12,14,8,s2,1,s3,7,0,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s2,1,s3,8,1,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s1,6,0,6,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s1,7,1,6,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s1,8,2,6,1,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s1,9,3,6,2,35,27,OK
sqrt2-per12,14,8,s3,1,s1,7,0,6,3,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s1,8,1,6,1,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s1,9,2,6,2,52,44,OK
sqrt2-per12,14,8,s3,0,s2,6,0,6,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s2,7,1,6,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s2,8,2,6,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s2,7,0,6,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s2,8,1,6,2,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s3,6,0,6,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s3,7,1,6,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,0,s3,8,2,6,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s3,7,0,6,5,,,JOINT_INFEASIBLE
sqrt2-per12,14,8,s3,1,s3,8,1,6,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s1,5,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s1,6,1,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s1,7,2,3,3,24,18,OK
sqrt2-per12,15,8,s1,0,s1,8,3,3,3,18,12,OK
sqrt2-per12,15,8,s1,0,s1,9,4,3,2,13,8,OK
sqrt2-per12,15,8,s1,1,s1,6,0,4,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s1,7,1,4,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s1,8,2,4,3,25,18,OK
sqrt2-per12,15,8,s1,1,s1,9,3,4,2,17,11,OK
sqrt2-per12,15,8,s1,1,s1,10,4,4,2,13,7,OK
sqrt2-per12,15,8,s1,0,s2,5,0,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s2,6,1,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s2,7,2,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s2,8,3,3,2,17,12,OK
sqrt2-per12,15,8,s1,0,s2,9,4,3,3,18,12,OK
sqrt2-per12,15,8,s1,1,s2,6,0,4,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s2,7,1,4,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s2,8,2,4,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s2,9,3,4,3,18,11,OK
sqrt2-per12,15,8,s1,0,s3,5,0,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s3,6,1,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s3,7,2,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,0,s3,8,3,3,5,20,12,OK
sqrt2-per12,15,8,s1,0,s3,9,4,3,6,21,12,OK
sqrt2-per12,15,8,s1,1,s3,6,0,4,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s3,7,1,4,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s3,8,2,4,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s1,1,s3,9,3,4,6,21,11,OK
sqrt2-per12,15,8,s2,0,s1,6,0,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s1,7,1,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s1,8,2,2,3,46,41,OK
sqrt2-per12,15,8,s2,0,s1,9,3,2,2,42,38,OK
sqrt2-per12,15,8,s2,0,s1,10,4,2,2,24,20,OK
sqrt2-per12,15,8,s2,1,s1,7,0,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s1,8,1,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s1,9,2,2,2,45,41,OK
sqrt2-per12,15,8,s2,1,s1,10,3,2,2,42,38,OK
sqrt2-per12,15,8,s2,0,s2,6,0,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s2,7,1,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s2,8,2,2,2,45,41,OK
sqrt2-per12,15,8,s2,0,s2,9,3,2,3,43,38,OK
sqrt2-per12,15,8,s2,1,s2,7,0,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s2,8,1,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s2,9,2,2,3,46,41,OK
sqrt2-per12,15,8,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,0,s3,8,2,2,5,48,41,OK
sqrt2-per12,15,8,s2,0,s3,9,3,2,6,46,38,OK
sqrt2-per12,15,8,s2,1,s3,7,0,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s3,8,1,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s2,1,s3,9,2,2,6,49,41,OK
sqrt2-per12,15,8,s3,0,s1,6,0,8,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s1,7,1,8,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s1,8,2,8,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s1,9,3,8,2,35,25,OK
sqrt2-per12,15,8,s3,0,s1,10,4,8,2,30,20,OK
sqrt2-per12,15,8,s3,1,s1,7,0,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s1,8,1,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s1,9,2,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s1,10,3,7,2,35,26,OK
sqrt2-per12,15,8,s3,0,s2,6,0,8,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s2,7,1,8,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s2,8,2,8,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s2,9,3,8,3,36,25,OK
sqrt2-per12,15,8,s3,1,s2,7,0,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s2,8,1,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s2,9,2,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s3,6,0,8,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s3,7,1,8,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s3,8,2,8,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,0,s3,9,3,8,6,39,25,OK
sqrt2-per12,15,8,s3,1,s3,7,0,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s3,8,1,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,15,8,s3,1,s3,9,2,7,6,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s1,5,0,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s1,6,1,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s1,7,2,3,2,23,18,OK
sqrt2-per12,16,9,s1,0,s1,8,3,3,3,19,13,OK
sqrt2-per12,16,9,s1,0,s1,9,4,3,3,12,6,OK
sqrt2-per12,16,9,s1,1,s1,6,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s1,7,1,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s1,8,2,3,3,24,18,OK
sqrt2-per12,16,9,s1,1,s1,9,3,3,3,18,12,OK
sqrt2-per12,16,9,s1,1,s1,10,4,3,1,12,8,OK
sqrt2-per12,16,9,s1,0,s2,5,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s2,6,1,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s2,7,2,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s2,8,3,3,2,16,11,OK
sqrt2-per12,16,9,s1,0,s2,9,4,3,2,17,12,OK
sqrt2-per12,16,9,s1,1,s2,6,0,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s2,7,1,3,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s2,8,2,3,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s2,9,3,3,2,17,12,OK
sqrt2-per12,16,9,s1,1,s2,10,4,3,2,17,12,OK
sqrt2-per12,16,9,s1,0,s3,5,0,3,6,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s3,6,1,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s3,7,2,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,0,s3,8,3,3,5,22,14,OK
sqrt2-per12,16,9,s1,0,s3,9,4,3,5,46,38,OK
sqrt2-per12,16,9,s1,1,s3,6,0,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s3,7,1,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s3,8,2,3,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s1,1,s3,9,3,3,5,20,12,OK
sqrt2-per12,16,9,s1,1,s3,10,4,3,5,20,12,OK
sqrt2-per12,16,9,s2,0,s1,6,0,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s1,7,1,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s1,8,2,2,3,47,42,OK
sqrt2-per12,16,9,s2,0,s1,9,3,2,3,41,36,OK
sqrt2-per12,16,9,s2,0,s1,10,4,2,1,32,29,OK
sqrt2-per12,16,9,s2,1,s1,7,0,1,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s1,8,1,1,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s1,9,2,1,3,46,42,OK
sqrt2-per12,16,9,s2,1,s1,10,3,1,1,41,39,OK
sqrt2-per12,16,9,s2,1,s1,11,4,1,2,24,21,OK
sqrt2-per12,16,9,s2,0,s2,6,0,2,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s2,7,1,2,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s2,8,2,2,2,44,40,OK
sqrt2-per12,16,9,s2,0,s2,9,3,2,2,42,38,OK
sqrt2-per12,16,9,s2,0,s2,10,4,2,2,33,29,OK
sqrt2-per12,16,9,s2,1,s2,7,0,1,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s2,8,1,1,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s2,9,2,1,2,45,42,OK
sqrt2-per12,16,9,s2,1,s2,10,3,1,2,42,39,OK
sqrt2-per12,16,9,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,0,s3,8,2,2,5,50,43,OK
sqrt2-per12,16,9,s2,0,s3,9,3,2,5,45,38,OK
sqrt2-per12,16,9,s2,0,s3,10,4,2,5,36,29,OK
sqrt2-per12,16,9,s2,1,s3,7,0,1,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s3,8,1,1,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s2,1,s3,9,2,1,5,48,42,OK
sqrt2-per12,16,9,s2,1,s3,10,3,1,5,45,39,OK
sqrt2-per12,16,9,s3,0,s1,6,0,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s1,7,1,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s1,8,2,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s1,9,3,7,3,34,24,OK
sqrt2-per12,16,9,s3,0,s1,10,4,7,1,30,22,OK
sqrt2-per12,16,9,s3,1,s1,7,0,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s1,8,1,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s1,9,2,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s1,10,3,7,1,34,26,OK
sqrt2-per12,16,9,s3,1,s1,11,4,7,2,30,21,OK
sqrt2-per12,16,9,s3,0,s2,6,0,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s2,7,1,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s2,8,2,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s2,9,3,7,2,76,67,OK
sqrt2-per12,16,9,s3,0,s2,10,4,7,2,38,29,OK
sqrt2-per12,16,9,s3,1,s2,7,0,7,3,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s2,8,1,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s2,9,2,7,2,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s2,10,3,7,2,35,26,OK
sqrt2-per12,16,9,s3,0,s3,6,0,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s3,7,1,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s3,8,2,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,0,s3,9,3,7,5,38,26,OK
sqrt2-per12,16,9,s3,0,s3,10,4,7,5,41,29,OK
sqrt2-per12,16,9,s3,1,s3,7,0,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s3,8,1,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s3,9,2,7,5,,,JOINT_INFEASIBLE
sqrt2-per12,16,9,s3,1,s3,10,3,7,5,38,26,OK
