t,d_max,T0,cap,exact_min,argmin_len,argmin_a_seq,witness_replay,per_depth_min,wall,wallclock_s,peak_rss_gb
10,17,27,20,16,13,"4,3,2,1,1,4,2,2,15,1,5,1,1",True,"{8: 28, 10: 25, 11: 21, 12: 21, 13: 16, 14: 23, 15: 19, 16: 19, 17: 18}",,3.8,0.114
10,18,28,20,15,18,"10,1,3,3,1,2,1,2,6,2,1,4,5,1,1,4,3,1",True,"{8: 28, 9: 29, 10: 25, 11: 21, 12: 21, 13: 16, 14: 23, 15: 19, 16: 19, 17: 18, 18: 15}",,6.0,0.235
11,17,28,23,19,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,"{8: 29, 11: 21, 12: 21, 13: 27, 14: 26, 15: 19, 16: 19, 17: 19}",,10.7,0.385
11,18,29,23,19,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,"{8: 29, 11: 21, 12: 21, 13: 27, 14: 26, 15: 19, 16: 19, 17: 19, 18: 20}",,18.5,0.567
12,17,29,23,19,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,"{11: 21, 15: 19, 16: 19, 17: 20}",,12.4,0.589
12,18,30,23,19,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,"{11: 21, 13: 28, 15: 19, 16: 19, 17: 20}",,21.2,0.658
13,15,28,35,19,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,"{7: 38, 11: 32, 12: 32, 13: 34, 14: 31, 15: 19}",,119.6,2.162
13,16,29,35,31,14,"8,2,3,6,2,1,2,2,1,2,5,10,2,13",True,"{7: 38, 9: 42, 11: 32, 12: 32, 13: 34, 14: 31}","('WALLCLOCK_OR_RSS_MIDSWEEP', 15, 4512857, 4.03, 302.0)",304.6,4.031
14,15,29,36,32,11,"10,5,2,4,2,1,4,1,1,14,10",True,"{11: 32, 12: 35, 14: 33}","('WALLCLOCK_OR_RSS_MIDSWEEP', 15, 4511954, 4.4, 305.7)",307.5,4.4
