t,d_max,T0,cap,exact_min,raw_min_at_cap,sound_exact,argmin_len,argmin_a_seq,witness_replay,per_depth_min,wall,wallclock_s,peak_rss_gb
13,16,29,21,19,19,True,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,{15: 19},,6.9,0.113
13,17,30,21,19,19,True,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,{15: 19},,9.5,0.244
13,18,31,21,19,19,True,15,"4,3,2,5,4,3,1,3,2,2,1,4,9,5,1",True,{15: 19},,17.6,0.414
14,15,29,24,,,False,,,,{},,8.9,0.414
14,16,30,24,,,False,,,,{},,19.3,0.414
14,17,31,24,,,False,,,,{},,34.7,0.675
14,18,32,24,,,False,,,,{},,61.4,0.979
