m,word_label,word,L,slack_bound,n_chains_in_band,n_non_loop_chains
7,random078,1112221,4,5,2,1
7,random079,2211221,3,4,2,1
7,random080,1222122,2,3,1,0
7,random081,2211121,4,5,3,2
7,random082,2212121,3,4,3,2
7,random083,2112212,3,4,1,0
7,random084,2121222,2,3,1,0
7,random085,1212111,5,6,4,3
7,random086,2221111,4,5,4,3
7,random087,2212111,4,5,4,3
7,random088,2112122,3,4,1,0
7,random089,1221211,4,5,4,3
7,random090,1111111,7,8,4,3
7,random091,2122112,3,4,2,1
7,random092,2222111,3,4,4,3
7,random093,2121212,3,4,1,0
7,random094,2111212,4,5,1,0
7,random095,2112121,4,5,3,2
7,random096,2211222,2,3,1,0
7,random097,1212212,3,4,1,0
7,random098,2211112,4,5,2,1
7,random099,2121221,3,4,2,1
7,random100,1112111,6,7,4,3
7,random101,2122222,1,2,1,0
7,random102,1222121,3,4,3,2
7,random103,1221121,4,5,3,2
7,random104,1111222,4,5,1,0
7,random105,2112112,4,5,2,1
7,random106,1122212,3,4,1,0
7,random107,2211212,3,4,1,0
7,random108,2221211,3,4,4,3
7,random109,1112212,4,5,1,0
7,random110,1221111,5,6,4,3
7,random111,1112112,5,6,2,1
7,random112,1122111,5,6,4,3
7,random113,1111212,5,6,1,0
7,random114,2112211,4,5,4,3
7,random115,1121221,4,5,2,1
7,random116,2122212,2,3,1,0
7,random117,2222121,2,3,3,2
7,random118,1112211,5,6,4,3
7,random119,1122112,4,5,2,1
7,random120,1222212,2,3,1,0
7,random121,2221221,2,3,2,1
7,random122,1122221,3,4,2,1
7,random123,1222111,4,5,4,3
7,random124,1211112,5,6,2,1
7,random125,1112122,4,5,1,0
7,sqrt2-per12,2121121,4,5,3,2
8,golden-per8,22121221,3,4,2,1
8,random000,12212222,2,3,1,0
8,random001,12211122,4,5,1,0
8,random002,22211222,2,3,1,0
8,random003,12221221,3,4,2,1
8,random004,21112122,4,5,1,0
8,random005,22211121,4,5,3,2
8,random006,12121211,5,6,4,3
8,random007,11221212,4,5,1,0
8,random008,21211112,5,6,2,1
8,random009,12211121,5,6,3,2
8,random010,12122112,4,5,2,1
8,random011,21212122,3,4,1,0
8,random012,12222212,2,3,1,0
8,random013,21212212,3,4,1,0
8,random014,11122212,4,5,1,0
8,random015,11212122,4,5,1,0
8,random016,21222121,3,4,3,2
8,random017,12112122,4,5,1,0
8,random018,12221121,4,5,3,2
8,random019,12222112,3,4,2,1
8,random020,22222222,0,1,1,0
8,random021,11222112,4,5,2,1
8,random022,22212121,3,4,3,2
8,random023,22121211,4,5,4,3
8,random024,22111112,5,6,2,1
8,random025,22111222,3,4,1,0
8,random026,12111222,4,5,1,0
8,random027,12111211,6,7,4,3
8,random028,22211111,5,6,4,3
8,random029,12211222,3,4,1,0
8,random030,11121221,5,6,2,1
8,random031,22222221,1,2,2,1
8,random032,11111122,6,7,1,0
8,random033,21111122,5,6,1,0
8,random034,21121211,5,6,4,3
8,random035,12212121,4,5,3,2
8,random036,21222211,3,4,4,3
8,random037,22122222,1,2,1,0
