m,D,C_final,shell_depth,margin,n_attempts,row_wall_s
2,1,12,2,10,1,0.014
3,1,12,3,9,1,0.015
4,2,12,4,8,1,0.015
5,3,12,6,6,1,0.017
6,3,12,6,6,1,0.021
7,4,12,7,5,1,0.031
8,4,12,8,4,1,0.058
9,5,12,9,3,1,0.136
10,5,12,9,3,1,0.359
11,6,12,10,2,1,1.047
12,7,14,11,3,2,8.292
13,7,14,11,3,2,25.229
