m,D,C_final,shell_depth,margin,n_attempts,row_wall_s
2,0,12,1,11,1,0.019
3,1,12,3,9,1,0.019
4,1,12,4,8,1,0.019
5,2,12,5,7,1,0.021
6,2,12,6,6,1,0.027
7,2,12,6,6,1,0.043
8,3,12,7,5,1,0.085
9,3,12,8,4,1,0.209
10,3,12,8,4,1,0.573
11,4,12,8,4,1,1.453
12,4,12,9,3,1,4.365
13,5,12,9,3,1,13.817
