heartbeat,step,alive,killed_terminal,killed_exit,killed_precision,total_killed,elapsed_s
0,0,40987648,1532656,162880,80080,1775616,73.2
0,1,11795605,456751,34251,0,491002,83.3
0,2,3543836,91826,8809,0,100635,85.8
0,3,1072251,29917,2296,0,32213,86.3
0,4,686388,14928,729,0,15657,86.4
0,5,530487,9951,378,0,10329,86.5
0,6,429495,8962,291,0,9253,86.5
0,7,353531,7950,232,0,8182,86.6
0,8,298563,4970,170,0,5140,86.6
0,9,253582,4967,155,0,5122,86.6
0,10,218607,4966,121,0,5087,86.7
0,11,193618,4966,107,0,5073,86.7
0,12,172629,4964,94,0,5058,86.7
0,13,154637,3977,75,0,4052,86.7
0,14,136663,3971,72,0,4043,86.7
0,15,119694,2980,58,0,3038,86.7
0,16,104719,1989,52,0,2041,86.7
0,17,92742,1990,38,0,2028,86.7
0,18,84742,1991,36,0,2027,86.8
0,19,77753,1990,24,0,2014,86.8
0,20,70759,1991,27,0,2018,86.8
0,21,64772,1989,20,0,2009,86.8
0,22,60772,1990,22,0,2012,86.8
0,23,57764,1990,24,0,2014,86.8
0,24,54771,1989,12,0,2001,86.8
0,25,52763,1990,18,0,2008,86.8
0,26,50766,1988,9,0,1997,86.8
0,27,48761,1990,15,0,2005,86.8
0,28,46767,1987,7,0,1994,86.8
0,29,44766,1988,13,0,2001,86.8
0,30,42762,1988,16,0,2004,86.8
0,31,40770,1988,4,0,1992,86.8
0,32,38768,1988,14,0,2002,86.8
0,33,36779,1986,3,0,1989,86.8
0,34,35774,996,9,0,1005,86.8
0,35,34765,996,13,0,1009,86.8
0,36,33768,997,0,0,997,86.8
0,37,32761,996,11,0,1007,86.8
0,38,31765,996,0,0,996,86.8
0,39,30760,996,9,0,1005,86.8
0,40,29764,996,0,0,996,86.8
0,41,28760,996,8,0,1004,86.8
0,42,27753,996,11,0,1007,86.8
0,43,26757,996,0,0,996,86.8
0,44,25751,996,10,0,1006,86.8
0,45,24755,996,0,0,996,86.8
0,46,23752,996,7,0,1003,86.8
0,47,22746,996,10,0,1006,86.8
0,48,21750,996,0,0,996,86.8
0,49,20746,995,9,0,1004,86.9
0,50,19751,995,0,0,995,86.9
0,51,18749,995,7,0,1002,86.9
0,52,17744,995,10,0,1005,86.9
1,0,16749,995,0,0,995,86.9
1,1,15745,995,9,0,1004,86.9
1,2,14750,995,0,0,995,86.9
1,3,13748,995,7,0,1002,86.9
1,4,12753,995,0,0,995,86.9
1,5,12746,0,7,0,7,86.9
1,6,12737,0,9,0,9,86.9
1,7,12737,0,0,0,0,86.9
1,8,12729,0,8,0,8,86.9
1,9,12729,0,0,0,0,86.9
1,10,12722,0,7,0,7,86.9
1,11,12713,0,9,0,9,86.9
1,12,12713,0,0,0,0,86.9
1,13,12705,0,8,0,8,86.9
1,14,12705,0,0,0,0,86.9
1,15,12698,0,7,0,7,86.9
1,16,12698,0,0,0,0,86.9
1,17,12691,0,7,0,7,86.9
1,18,12682,0,9,0,9,86.9
1,19,12682,0,0,0,0,86.9
1,20,12674,0,8,0,8,86.9
1,21,12674,0,0,0,0,86.9
1,22,12667,0,7,0,7,86.9
1,23,12658,0,9,0,9,86.9
1,24,12658,0,0,0,0,86.9
1,25,12650,0,8,0,8,86.9
1,26,12650,0,0,0,0,86.9
1,27,12643,0,7,0,7,86.9
1,28,12643,0,0,0,0,86.9
1,29,12636,0,7,0,7,86.9
1,30,12627,0,9,0,9,86.9
1,31,12627,0,0,0,0,86.9
1,32,12619,0,8,0,8,86.9
1,33,12619,0,0,0,0,86.9
1,34,12612,0,7,0,7,86.9
1,35,12603,0,9,0,9,86.9
1,36,12603,0,0,0,0,86.9
1,37,12595,0,8,0,8,86.9
1,38,12595,0,0,0,0,86.9
1,39,12588,0,7,0,7,86.9
1,40,12588,0,0,0,0,86.9
1,41,12581,0,7,0,7,86.9
1,42,12572,0,9,0,9,86.9
1,43,12572,0,0,0,0,86.9
1,44,12564,0,8,0,8,86.9
1,45,12564,0,0,0,0,86.9
1,46,12557,0,7,0,7,86.9
1,47,12548,0,9,0,9,86.9
1,48,12548,0,0,0,0,86.9
1,49,12540,0,8,0,8,86.9
1,50,12540,0,0,0,0,86.9
1,51,12533,0,7,0,7,86.9
1,52,12524,0,9,0,9,86.9
2,0,12524,0,0,0,0,86.9
2,1,12516,0,8,0,8,86.9
2,2,12516,0,0,0,0,86.9
2,3,12509,0,7,0,7,86.9
2,4,12509,0,0,0,0,86.9
2,5,12502,0,7,0,7,86.9
2,6,12493,0,9,0,9,86.9
2,7,12493,0,0,0,0,86.9
2,8,12485,0,8,0,8,86.9
2,9,12485,0,0,0,0,86.9
2,10,12478,0,7,0,7,86.9
2,11,12469,0,9,0,9,86.9
2,12,12469,0,0,0,0,86.9
2,13,12461,0,8,0,8,86.9
2,14,12461,0,0,0,0,86.9
2,15,12454,0,7,0,7,86.9
2,16,12454,0,0,0,0,86.9
2,17,12447,0,7,0,7,86.9
2,18,12438,0,9,0,9,86.9
2,19,12438,0,0,0,0,86.9
2,20,12430,0,8,0,8,86.9
2,21,12430,0,0,0,0,86.9
2,22,12423,0,7,0,7,86.9
2,23,12414,0,9,0,9,86.9
2,24,12414,0,0,0,0,86.9
2,25,12406,0,8,0,8,86.9
2,26,12406,0,0,0,0,86.9
2,27,12399,0,7,0,7,86.9
2,28,12399,0,0,0,0,86.9
2,29,12392,0,7,0,7,86.9
2,30,12383,0,9,0,9,86.9
2,31,12383,0,0,0,0,86.9
2,32,12375,0,8,0,8,86.9
2,33,12375,0,0,0,0,86.9
2,34,12368,0,7,0,7,86.9
2,35,12359,0,9,0,9,86.9
2,36,12359,0,0,0,0,86.9
2,37,12351,0,8,0,8,86.9
2,38,12351,0,0,0,0,86.9
2,39,12344,0,7,0,7,86.9
2,40,12344,0,0,0,0,86.9
2,41,12337,0,7,0,7,86.9
2,42,12328,0,9,0,9,86.9
2,43,12328,0,0,0,0,86.9
2,44,12320,0,8,0,8,86.9
2,45,12320,0,0,0,0,86.9
2,46,12313,0,7,0,7,86.9
2,47,12304,0,9,0,9,86.9
2,48,12304,0,0,0,0,86.9
2,49,12296,0,8,0,8,86.9
2,50,12296,0,0,0,0,86.9
2,51,12289,0,7,0,7,86.9
2,52,12280,0,9,0,9,87.0
3,0,12280,0,0,0,0,87.0
3,1,12272,0,8,0,8,87.0
3,2,12272,0,0,0,0,87.0
3,3,12265,0,7,0,7,87.0
3,4,12265,0,0,0,0,87.0
3,5,12258,0,7,0,7,87.0
3,6,12249,0,9,0,9,87.0
3,7,12249,0,0,0,0,87.0
3,8,12241,0,8,0,8,87.0
3,9,12241,0,0,0,0,87.0
3,10,12234,0,7,0,7,87.0
3,11,12225,0,9,0,9,87.0
3,12,12225,0,0,0,0,87.0
3,13,12217,0,8,0,8,87.0
3,14,12217,0,0,0,0,87.0
3,15,12210,0,7,0,7,87.0
3,16,12210,0,0,0,0,87.0
3,17,12203,0,7,0,7,87.0
3,18,12194,0,9,0,9,87.0
3,19,12194,0,0,0,0,87.0
3,20,12186,0,8,0,8,87.0
3,21,12186,0,0,0,0,87.0
3,22,12179,0,7,0,7,87.0
3,23,12170,0,9,0,9,87.0
3,24,12170,0,0,0,0,87.0
3,25,12162,0,8,0,8,87.0
3,26,12162,0,0,0,0,87.0
3,27,12155,0,7,0,7,87.0
3,28,12155,0,0,0,0,87.0
3,29,12148,0,7,0,7,87.0
3,30,12139,0,9,0,9,87.0
3,31,12139,0,0,0,0,87.0
3,32,12131,0,8,0,8,87.0
3,33,12131,0,0,0,0,87.0
3,34,12124,0,7,0,7,87.0
3,35,12115,0,9,0,9,87.0
3,36,12115,0,0,0,0,87.0
3,37,12107,0,8,0,8,87.0
3,38,12107,0,0,0,0,87.0
3,39,12100,0,7,0,7,87.0
3,40,12100,0,0,0,0,87.0
3,41,12093,0,7,0,7,87.0
3,42,12084,0,9,0,9,87.0
3,43,12084,0,0,0,0,87.0
3,44,12076,0,8,0,8,87.0
3,45,12076,0,0,0,0,87.0
3,46,12069,0,7,0,7,87.0
3,47,12060,0,9,0,9,87.0
3,48,12060,0,0,0,0,87.0
3,49,12052,0,8,0,8,87.0
3,50,12052,0,0,0,0,87.0
3,51,12045,0,7,0,7,87.0
3,52,12036,0,9,0,9,87.0
4,0,12036,0,0,0,0,87.0
4,1,12028,0,8,0,8,87.0
4,2,12028,0,0,0,0,87.0
4,3,12021,0,7,0,7,87.0
4,4,12021,0,0,0,0,87.0
4,5,12014,0,7,0,7,87.0
4,6,12005,0,9,0,9,87.0
4,7,12005,0,0,0,0,87.0
4,8,11997,0,8,0,8,87.0
4,9,11997,0,0,0,0,87.0
4,10,11990,0,7,0,7,87.0
4,11,11981,0,9,0,9,87.0
4,12,11981,0,0,0,0,87.0
4,13,11973,0,8,0,8,87.0
4,14,11973,0,0,0,0,87.0
4,15,11966,0,7,0,7,87.0
4,16,11966,0,0,0,0,87.0
4,17,11959,0,7,0,7,87.0
4,18,11950,0,9,0,9,87.0
4,19,11950,0,0,0,0,87.0
4,20,11942,0,8,0,8,87.0
4,21,11942,0,0,0,0,87.0
4,22,11935,0,7,0,7,87.0
4,23,11926,0,9,0,9,87.0
4,24,11926,0,0,0,0,87.0
4,25,11918,0,8,0,8,87.0
4,26,11918,0,0,0,0,87.0
4,27,11911,0,7,0,7,87.1
4,28,11911,0,0,0,0,87.1
4,29,11904,0,7,0,7,87.1
4,30,11895,0,9,0,9,87.1
4,31,11895,0,0,0,0,87.1
4,32,11887,0,8,0,8,87.1
4,33,11887,0,0,0,0,87.1
4,34,11880,0,7,0,7,87.1
4,35,11871,0,9,0,9,87.1
4,36,11871,0,0,0,0,87.1
4,37,11863,0,8,0,8,87.1
4,38,11863,0,0,0,0,87.1
4,39,11856,0,7,0,7,87.1
4,40,11856,0,0,0,0,87.1
4,41,11849,0,7,0,7,87.1
4,42,11840,0,9,0,9,87.1
4,43,11840,0,0,0,0,87.1
4,44,11832,0,8,0,8,87.1
4,45,11832,0,0,0,0,87.1
4,46,11825,0,7,0,7,87.1
4,47,11816,0,9,0,9,87.1
4,48,11816,0,0,0,0,87.1
4,49,11808,0,8,0,8,87.1
4,50,11808,0,0,0,0,87.1
4,51,11801,0,7,0,7,87.1
4,52,11792,0,9,0,9,87.1
5,0,11792,0,0,0,0,87.1
5,1,11784,0,8,0,8,87.1
5,2,11784,0,0,0,0,87.1
5,3,11777,0,7,0,7,87.1
5,4,11777,0,0,0,0,87.1
5,5,11770,0,7,0,7,87.1
5,6,11761,0,9,0,9,87.1
5,7,11761,0,0,0,0,87.1
5,8,11753,0,8,0,8,87.1
5,9,11753,0,0,0,0,87.1
5,10,11746,0,7,0,7,87.1
5,11,11737,0,9,0,9,87.1
5,12,11737,0,0,0,0,87.1
5,13,11729,0,8,0,8,87.1
5,14,11729,0,0,0,0,87.1
5,15,11722,0,7,0,7,87.1
5,16,11722,0,0,0,0,87.1
5,17,11715,0,7,0,7,87.1
5,18,11706,0,9,0,9,87.1
5,19,11706,0,0,0,0,87.1
5,20,11698,0,8,0,8,87.1
5,21,11698,0,0,0,0,87.1
5,22,11691,0,7,0,7,87.1
5,23,11682,0,9,0,9,87.1
5,24,11682,0,0,0,0,87.1
5,25,11674,0,8,0,8,87.1
5,26,11674,0,0,0,0,87.1
5,27,11667,0,7,0,7,87.1
5,28,11667,0,0,0,0,87.1
5,29,11660,0,7,0,7,87.1
5,30,11651,0,9,0,9,87.1
5,31,11651,0,0,0,0,87.1
5,32,11643,0,8,0,8,87.1
5,33,11643,0,0,0,0,87.1
5,34,11636,0,7,0,7,87.1
5,35,11627,0,9,0,9,87.1
5,36,11627,0,0,0,0,87.1
5,37,11619,0,8,0,8,87.1
5,38,11619,0,0,0,0,87.1
5,39,11612,0,7,0,7,87.1
5,40,11612,0,0,0,0,87.1
5,41,11605,0,7,0,7,87.1
5,42,11596,0,9,0,9,87.1
5,43,11596,0,0,0,0,87.1
5,44,11588,0,8,0,8,87.1
5,45,11588,0,0,0,0,87.1
5,46,11581,0,7,0,7,87.1
5,47,11572,0,9,0,9,87.1
5,48,11572,0,0,0,0,87.1
5,49,11564,0,8,0,8,87.1
5,50,11564,0,0,0,0,87.1
5,51,11557,0,7,0,7,87.1
5,52,11548,0,9,0,9,87.1
6,0,11548,0,0,0,0,87.1
6,1,11540,0,8,0,8,87.1
6,2,11540,0,0,0,0,87.1
6,3,11533,0,7,0,7,87.1
6,4,11533,0,0,0,0,87.1
6,5,11526,0,7,0,7,87.1
6,6,11517,0,9,0,9,87.1
6,7,11517,0,0,0,0,87.1
6,8,11509,0,8,0,8,87.1
6,9,11509,0,0,0,0,87.1
6,10,11502,0,7,0,7,87.1
6,11,11493,0,9,0,9,87.1
6,12,11493,0,0,0,0,87.1
6,13,11485,0,8,0,8,87.1
6,14,11485,0,0,0,0,87.1
6,15,11478,0,7,0,7,87.1
6,16,11478,0,0,0,0,87.1
6,17,11471,0,7,0,7,87.1
6,18,11462,0,9,0,9,87.1
6,19,11462,0,0,0,0,87.1
6,20,11454,0,8,0,8,87.1
6,21,11454,0,0,0,0,87.1
6,22,11447,0,7,0,7,87.1
6,23,11438,0,9,0,9,87.1
6,24,11438,0,0,0,0,87.1
6,25,11430,0,8,0,8,87.1
6,26,11430,0,0,0,0,87.1
6,27,11423,0,7,0,7,87.1
6,28,11423,0,0,0,0,87.1
6,29,11416,0,7,0,7,87.1
6,30,11407,0,9,0,9,87.1
6,31,11407,0,0,0,0,87.1
6,32,11399,0,8,0,8,87.1
6,33,11399,0,0,0,0,87.1
6,34,11392,0,7,0,7,87.1
6,35,11383,0,9,0,9,87.1
6,36,11383,0,0,0,0,87.1
6,37,11375,0,8,0,8,87.1
6,38,11375,0,0,0,0,87.1
6,39,11368,0,7,0,7,87.1
6,40,11368,0,0,0,0,87.2
6,41,11361,0,7,0,7,87.2
6,42,11352,0,9,0,9,87.2
6,43,11352,0,0,0,0,87.2
6,44,11344,0,8,0,8,87.2
6,45,11344,0,0,0,0,87.2
6,46,11337,0,7,0,7,87.2
6,47,11328,0,9,0,9,87.2
6,48,11328,0,0,0,0,87.2
6,49,11320,0,8,0,8,87.2
6,50,11320,0,0,0,0,87.2
6,51,11313,0,7,0,7,87.2
6,52,11304,0,9,0,9,87.2
7,0,11304,0,0,0,0,87.2
7,1,11296,0,8,0,8,87.2
7,2,11296,0,0,0,0,87.2
7,3,11289,0,7,0,7,87.2
7,4,11289,0,0,0,0,87.2
7,5,11282,0,7,0,7,87.2
7,6,11273,0,9,0,9,87.2
7,7,11273,0,0,0,0,87.2
7,8,11265,0,8,0,8,87.2
7,9,11265,0,0,0,0,87.2
7,10,11258,0,7,0,7,87.2
7,11,11249,0,9,0,9,87.2
7,12,11249,0,0,0,0,87.2
7,13,11241,0,8,0,8,87.2
7,14,11241,0,0,0,0,87.2
7,15,11234,0,7,0,7,87.2
7,16,11234,0,0,0,0,87.2
7,17,11227,0,7,0,7,87.2
7,18,11218,0,9,0,9,87.2
7,19,11218,0,0,0,0,87.2
7,20,11210,0,8,0,8,87.2
7,21,11210,0,0,0,0,87.2
7,22,11203,0,7,0,7,87.2
7,23,11194,0,9,0,9,87.2
7,24,11194,0,0,0,0,87.2
7,25,11186,0,8,0,8,87.2
7,26,11186,0,0,0,0,87.2
7,27,11179,0,7,0,7,87.2
7,28,11179,0,0,0,0,87.2
7,29,11172,0,7,0,7,87.2
7,30,11163,0,9,0,9,87.2
7,31,11163,0,0,0,0,87.2
7,32,11155,0,8,0,8,87.2
7,33,11155,0,0,0,0,87.2
7,34,11148,0,7,0,7,87.2
7,35,11139,0,9,0,9,87.2
7,36,11139,0,0,0,0,87.2
7,37,11131,0,8,0,8,87.2
7,38,11131,0,0,0,0,87.2
7,39,11124,0,7,0,7,87.2
7,40,11124,0,0,0,0,87.2
7,41,11117,0,7,0,7,87.2
7,42,11108,0,9,0,9,87.2
7,43,11108,0,0,0,0,87.2
7,44,11100,0,8,0,8,87.2
7,45,11100,0,0,0,0,87.2
7,46,11093,0,7,0,7,87.2
7,47,11084,0,9,0,9,87.2
7,48,11084,0,0,0,0,87.2
7,49,11076,0,8,0,8,87.2
7,50,11076,0,0,0,0,87.2
7,51,11069,0,7,0,7,87.2
7,52,11060,0,9,0,9,87.2
8,0,11060,0,0,0,0,87.2
8,1,11052,0,8,0,8,87.2
8,2,11052,0,0,0,0,87.2
8,3,11045,0,7,0,7,87.2
8,4,11045,0,0,0,0,87.2
8,5,11038,0,7,0,7,87.2
8,6,11029,0,9,0,9,87.2
8,7,11029,0,0,0,0,87.2
8,8,11021,0,8,0,8,87.2
8,9,11021,0,0,0,0,87.2
8,10,11014,0,7,0,7,87.2
8,11,11005,0,9,0,9,87.2
8,12,11005,0,0,0,0,87.2
8,13,10997,0,8,0,8,87.2
8,14,10997,0,0,0,0,87.2
8,15,10990,0,7,0,7,87.2
8,16,10990,0,0,0,0,87.2
8,17,10983,0,7,0,7,87.2
8,18,10974,0,9,0,9,87.2
8,19,10974,0,0,0,0,87.2
8,20,10966,0,8,0,8,87.2
8,21,10966,0,0,0,0,87.2
8,22,10959,0,7,0,7,87.2
8,23,10950,0,9,0,9,87.2
8,24,10950,0,0,0,0,87.2
8,25,10942,0,8,0,8,87.2
8,26,10942,0,0,0,0,87.2
8,27,10935,0,7,0,7,87.2
8,28,10935,0,0,0,0,87.2
8,29,10928,0,7,0,7,87.2
8,30,10919,0,9,0,9,87.2
8,31,10919,0,0,0,0,87.2
8,32,10911,0,8,0,8,87.2
8,33,10911,0,0,0,0,87.2
8,34,10904,0,7,0,7,87.2
8,35,10895,0,9,0,9,87.2
8,36,10895,0,0,0,0,87.2
8,37,10887,0,8,0,8,87.2
8,38,10887,0,0,0,0,87.2
8,39,10880,0,7,0,7,87.2
8,40,10880,0,0,0,0,87.2
8,41,10873,0,7,0,7,87.2
8,42,10864,0,9,0,9,87.2
8,43,10864,0,0,0,0,87.2
8,44,10856,0,8,0,8,87.2
8,45,10856,0,0,0,0,87.2
8,46,10849,0,7,0,7,87.2
8,47,10840,0,9,0,9,87.2
8,48,10840,0,0,0,0,87.2
8,49,10832,0,8,0,8,87.2
8,50,10832,0,0,0,0,87.2
8,51,10825,0,7,0,7,87.2
8,52,10816,0,9,0,9,87.2
9,0,10816,0,0,0,0,87.2
9,1,10808,0,8,0,8,87.2
9,2,10808,0,0,0,0,87.2
9,3,10801,0,7,0,7,87.2
9,4,10801,0,0,0,0,87.3
9,5,10794,0,7,0,7,87.3
9,6,10785,0,9,0,9,87.3
9,7,10785,0,0,0,0,87.3
9,8,10777,0,8,0,8,87.3
9,9,10777,0,0,0,0,87.3
9,10,10770,0,7,0,7,87.3
9,11,10761,0,9,0,9,87.3
9,12,10761,0,0,0,0,87.3
9,13,10753,0,8,0,8,87.3
9,14,10753,0,0,0,0,87.3
9,15,10746,0,7,0,7,87.3
9,16,10746,0,0,0,0,87.3
9,17,10739,0,7,0,7,87.3
9,18,10730,0,9,0,9,87.3
9,19,10730,0,0,0,0,87.3
9,20,10722,0,8,0,8,87.3
9,21,10722,0,0,0,0,87.3
9,22,10715,0,7,0,7,87.3
9,23,10706,0,9,0,9,87.3
9,24,10706,0,0,0,0,87.3
9,25,10698,0,8,0,8,87.3
9,26,10698,0,0,0,0,87.3
9,27,10691,0,7,0,7,87.3
9,28,10691,0,0,0,0,87.3
9,29,10684,0,7,0,7,87.3
9,30,10675,0,9,0,9,87.3
9,31,10675,0,0,0,0,87.3
9,32,10667,0,8,0,8,87.3
9,33,10667,0,0,0,0,87.3
9,34,10660,0,7,0,7,87.3
9,35,10651,0,9,0,9,87.3
9,36,10651,0,0,0,0,87.3
9,37,10643,0,8,0,8,87.3
9,38,10643,0,0,0,0,87.3
9,39,10636,0,7,0,7,87.3
9,40,10636,0,0,0,0,87.3
9,41,10629,0,7,0,7,87.3
9,42,10620,0,9,0,9,87.3
9,43,10620,0,0,0,0,87.3
9,44,10612,0,8,0,8,87.3
9,45,10612,0,0,0,0,87.3
9,46,10605,0,7,0,7,87.3
9,47,10596,0,9,0,9,87.3
9,48,10596,0,0,0,0,87.3
9,49,10588,0,8,0,8,87.3
9,50,10588,0,0,0,0,87.3
9,51,10581,0,7,0,7,87.3
9,52,10572,0,9,0,9,87.3
10,0,10572,0,0,0,0,87.3
10,1,10564,0,8,0,8,87.3
10,2,10564,0,0,0,0,87.3
10,3,10557,0,7,0,7,87.3
10,4,10557,0,0,0,0,87.3
10,5,10550,0,7,0,7,87.3
10,6,10541,0,9,0,9,87.3
10,7,10541,0,0,0,0,87.3
10,8,10533,0,8,0,8,87.3
10,9,10533,0,0,0,0,87.3
10,10,10526,0,7,0,7,87.3
10,11,10517,0,9,0,9,87.3
10,12,10517,0,0,0,0,87.3
10,13,10509,0,8,0,8,87.3
10,14,10509,0,0,0,0,87.3
10,15,10502,0,7,0,7,87.3
10,16,10502,0,0,0,0,87.3
10,17,10495,0,7,0,7,87.3
10,18,10486,0,9,0,9,87.3
10,19,10486,0,0,0,0,87.3
10,20,10478,0,8,0,8,87.3
10,21,10478,0,0,0,0,87.3
10,22,10471,0,7,0,7,87.3
10,23,10462,0,9,0,9,87.3
10,24,10462,0,0,0,0,87.3
10,25,10454,0,8,0,8,87.3
10,26,10454,0,0,0,0,87.3
10,27,10447,0,7,0,7,87.3
10,28,10447,0,0,0,0,87.3
10,29,10440,0,7,0,7,87.3
10,30,10431,0,9,0,9,87.3
10,31,10431,0,0,0,0,87.3
10,32,10423,0,8,0,8,87.3
10,33,10423,0,0,0,0,87.3
10,34,10416,0,7,0,7,87.3
10,35,10407,0,9,0,9,87.3
10,36,10407,0,0,0,0,87.3
10,37,10399,0,8,0,8,87.3
10,38,10399,0,0,0,0,87.3
10,39,10392,0,7,0,7,87.3
10,40,10392,0,0,0,0,87.3
10,41,10385,0,7,0,7,87.3
10,42,10376,0,9,0,9,87.3
10,43,10376,0,0,0,0,87.3
10,44,10368,0,8,0,8,87.3
10,45,10368,0,0,0,0,87.3
10,46,10361,0,7,0,7,87.3
10,47,10352,0,9,0,9,87.3
10,48,10352,0,0,0,0,87.3
10,49,10344,0,8,0,8,87.3
10,50,10344,0,0,0,0,87.3
10,51,10337,0,7,0,7,87.3
10,52,10328,0,9,0,9,87.3
11,0,10328,0,0,0,0,87.3
11,1,10320,0,8,0,8,87.3
11,2,10320,0,0,0,0,87.3
11,3,10313,0,7,0,7,87.3
11,4,10313,0,0,0,0,87.3
11,5,10306,0,7,0,7,87.3
11,6,10297,0,9,0,9,87.3
11,7,10297,0,0,0,0,87.3
11,8,10289,0,8,0,8,87.3
11,9,10289,0,0,0,0,87.3
11,10,10282,0,7,0,7,87.3
11,11,10273,0,9,0,9,87.3
11,12,10273,0,0,0,0,87.3
11,13,10265,0,8,0,8,87.3
11,14,10265,0,0,0,0,87.3
11,15,10258,0,7,0,7,87.3
11,16,10258,0,0,0,0,87.3
11,17,10251,0,7,0,7,87.3
11,18,10242,0,9,0,9,87.3
11,19,10242,0,0,0,0,87.3
11,20,10234,0,8,0,8,87.3
11,21,10234,0,0,0,0,87.3
11,22,10227,0,7,0,7,87.3
11,23,10218,0,9,0,9,87.3
11,24,10218,0,0,0,0,87.3
11,25,10210,0,8,0,8,87.3
11,26,10210,0,0,0,0,87.3
11,27,10203,0,7,0,7,87.3
11,28,10203,0,0,0,0,87.4
11,29,10196,0,7,0,7,87.4
11,30,10187,0,9,0,9,87.4
11,31,10187,0,0,0,0,87.4
11,32,10179,0,8,0,8,87.4
11,33,10179,0,0,0,0,87.4
11,34,10172,0,7,0,7,87.4
11,35,10163,0,9,0,9,87.4
11,36,10163,0,0,0,0,87.4
11,37,10155,0,8,0,8,87.4
11,38,10155,0,0,0,0,87.4
11,39,10148,0,7,0,7,87.4
11,40,10148,0,0,0,0,87.4
11,41,10141,0,7,0,7,87.4
11,42,10132,0,9,0,9,87.4
11,43,10132,0,0,0,0,87.4
11,44,10124,0,8,0,8,87.4
11,45,10124,0,0,0,0,87.4
11,46,10117,0,7,0,7,87.4
11,47,10108,0,9,0,9,87.4
11,48,10108,0,0,0,0,87.4
11,49,10100,0,8,0,8,87.4
11,50,10100,0,0,0,0,87.4
11,51,10093,0,7,0,7,87.4
11,52,10084,0,9,0,9,87.4
12,0,10084,0,0,0,0,87.4
12,1,10076,0,8,0,8,87.4
12,2,10076,0,0,0,0,87.4
12,3,10069,0,7,0,7,87.4
12,4,10069,0,0,0,0,87.4
12,5,10062,0,7,0,7,87.4
12,6,10053,0,9,0,9,87.4
12,7,10053,0,0,0,0,87.4
12,8,10045,0,8,0,8,87.4
12,9,10045,0,0,0,0,87.4
12,10,10038,0,7,0,7,87.4
12,11,10029,0,9,0,9,87.4
12,12,10029,0,0,0,0,87.4
12,13,10021,0,8,0,8,87.4
12,14,10021,0,0,0,0,87.4
12,15,10014,0,7,0,7,87.4
12,16,10014,0,0,0,0,87.4
12,17,10007,0,7,0,7,87.4
12,18,9998,0,9,0,9,87.4
12,19,9998,0,0,0,0,87.4
12,20,9990,0,8,0,8,87.4
12,21,9990,0,0,0,0,87.4
12,22,9983,0,7,0,7,87.4
12,23,9974,0,9,0,9,87.4
12,24,9974,0,0,0,0,87.4
12,25,9966,0,8,0,8,87.4
12,26,9966,0,0,0,0,87.4
12,27,9959,0,7,0,7,87.4
12,28,9959,0,0,0,0,87.4
12,29,9952,0,7,0,7,87.4
12,30,9943,0,9,0,9,87.4
12,31,9943,0,0,0,0,87.4
12,32,9935,0,8,0,8,87.4
12,33,9935,0,0,0,0,87.4
12,34,9928,0,7,0,7,87.4
12,35,9919,0,9,0,9,87.4
12,36,9919,0,0,0,0,87.4
12,37,9911,0,8,0,8,87.4
12,38,9911,0,0,0,0,87.4
12,39,9904,0,7,0,7,87.4
12,40,9904,0,0,0,0,87.4
12,41,9897,0,7,0,7,87.4
12,42,9888,0,9,0,9,87.4
12,43,9888,0,0,0,0,87.4
12,44,9880,0,8,0,8,87.4
12,45,9880,0,0,0,0,87.4
12,46,9873,0,7,0,7,87.4
12,47,9864,0,9,0,9,87.4
12,48,9864,0,0,0,0,87.4
12,49,9856,0,8,0,8,87.4
12,50,9856,0,0,0,0,87.4
12,51,9849,0,7,0,7,87.4
12,52,9840,0,9,0,9,87.4
13,0,9840,0,0,0,0,87.4
13,1,9832,0,8,0,8,87.4
13,2,9832,0,0,0,0,87.4
13,3,9825,0,7,0,7,87.4
13,4,9825,0,0,0,0,87.4
13,5,9818,0,7,0,7,87.4
13,6,9809,0,9,0,9,87.4
13,7,9809,0,0,0,0,87.4
13,8,9801,0,8,0,8,87.4
13,9,9801,0,0,0,0,87.4
13,10,9794,0,7,0,7,87.4
13,11,9785,0,9,0,9,87.4
13,12,9785,0,0,0,0,87.4
13,13,9777,0,8,0,8,87.4
13,14,9777,0,0,0,0,87.4
13,15,9770,0,7,0,7,87.4
13,16,9770,0,0,0,0,87.4
13,17,9763,0,7,0,7,87.4
13,18,9754,0,9,0,9,87.4
13,19,9754,0,0,0,0,87.4
13,20,9746,0,8,0,8,87.4
13,21,9746,0,0,0,0,87.4
13,22,9739,0,7,0,7,87.4
