heartbeat,step,alive,killed_terminal,killed_exit,killed_precision,total_killed,elapsed_s
0,0,10246912,381676,40160,80080,501916,16.9
0,1,2942419,114934,8334,27027,150295,18.9
0,2,887704,23950,2116,9000,35066,19.1
0,3,266820,9963,549,6003,16515,19.2
0,4,173839,5968,160,1998,8126,19.2
0,5,127863,3985,84,0,4069,19.2
0,6,103872,2990,57,0,3047,19.3
0,7,86882,1989,40,0,2029,19.3
0,8,75886,1990,33,0,2023,19.3
0,9,67885,996,27,0,1023,19.3
0,10,61886,995,24,0,1019,19.3
0,11,56888,994,22,0,1016,19.3
0,12,51897,993,19,0,1012,19.3
0,13,46903,993,19,0,1012,19.3
0,14,41915,993,16,0,1009,19.3
0,15,37922,992,15,0,1007,19.3
0,16,34925,992,15,0,1007,19.3
0,17,33923,992,10,0,1002,19.3
0,18,32918,992,13,0,1005,19.3
0,19,31920,991,7,0,998,19.3
0,20,30918,991,11,0,1002,19.3
0,21,29924,990,4,0,994,19.3
0,22,28924,991,9,0,1000,19.3
0,23,27922,991,11,0,1002,19.3
0,24,26927,991,4,0,995,19.3
0,25,25926,991,10,0,1001,19.3
0,26,25926,0,0,0,0,19.3
0,27,25920,0,6,0,6,19.3
0,28,25920,0,0,0,0,19.3
0,29,25915,0,5,0,5,19.3
0,30,25906,0,9,0,9,19.3
0,31,25906,0,0,0,0,19.3
0,32,25899,0,7,0,7,19.3
0,33,25899,0,0,0,0,19.3
0,34,25893,0,6,0,6,19.3
0,35,25884,0,9,0,9,19.3
0,36,25884,0,0,0,0,19.3
0,37,25876,0,8,0,8,19.3
0,38,25876,0,0,0,0,19.3
0,39,25870,0,6,0,6,19.3
0,40,25870,0,0,0,0,19.3
0,41,25865,0,5,0,5,19.4
0,42,25856,0,9,0,9,19.4
0,43,25856,0,0,0,0,19.4
0,44,25849,0,7,0,7,19.4
0,45,25849,0,0,0,0,19.4
0,46,25843,0,6,0,6,19.4
0,47,25834,0,9,0,9,19.4
0,48,25834,0,0,0,0,19.4
0,49,25826,0,8,0,8,19.4
0,50,25826,0,0,0,0,19.4
0,51,25820,0,6,0,6,19.4
0,52,25811,0,9,0,9,19.4
1,0,25811,0,0,0,0,19.4
1,1,25803,0,8,0,8,19.4
1,2,25803,0,0,0,0,19.4
1,3,25797,0,6,0,6,19.4
1,4,25797,0,0,0,0,19.4
1,5,25792,0,5,0,5,19.4
1,6,25783,0,9,0,9,19.4
1,7,25783,0,0,0,0,19.4
1,8,25776,0,7,0,7,19.4
1,9,25776,0,0,0,0,19.4
1,10,25770,0,6,0,6,19.4
1,11,25761,0,9,0,9,19.4
1,12,25761,0,0,0,0,19.4
1,13,25753,0,8,0,8,19.4
1,14,25753,0,0,0,0,19.4
1,15,25747,0,6,0,6,19.4
1,16,25747,0,0,0,0,19.4
1,17,25742,0,5,0,5,19.4
1,18,25733,0,9,0,9,19.4
1,19,25733,0,0,0,0,19.4
1,20,25726,0,7,0,7,19.4
1,21,25726,0,0,0,0,19.4
1,22,25720,0,6,0,6,19.4
1,23,25711,0,9,0,9,19.4
1,24,25711,0,0,0,0,19.4
1,25,25703,0,8,0,8,19.4
1,26,25703,0,0,0,0,19.4
1,27,25697,0,6,0,6,19.4
1,28,25697,0,0,0,0,19.4
1,29,25692,0,5,0,5,19.4
1,30,25683,0,9,0,9,19.4
1,31,25683,0,0,0,0,19.4
1,32,25676,0,7,0,7,19.4
1,33,25676,0,0,0,0,19.4
1,34,25670,0,6,0,6,19.4
1,35,25661,0,9,0,9,19.4
1,36,25661,0,0,0,0,19.4
1,37,25653,0,8,0,8,19.4
1,38,25653,0,0,0,0,19.4
1,39,25647,0,6,0,6,19.4
1,40,25647,0,0,0,0,19.4
1,41,25642,0,5,0,5,19.4
1,42,25633,0,9,0,9,19.5
1,43,25633,0,0,0,0,19.5
1,44,25626,0,7,0,7,19.5
1,45,25626,0,0,0,0,19.5
1,46,25620,0,6,0,6,19.5
1,47,25611,0,9,0,9,19.5
1,48,25611,0,0,0,0,19.5
1,49,25603,0,8,0,8,19.5
1,50,25603,0,0,0,0,19.5
1,51,25597,0,6,0,6,19.5
1,52,25588,0,9,0,9,19.5
2,0,25588,0,0,0,0,19.5
2,1,25580,0,8,0,8,19.5
2,2,25580,0,0,0,0,19.5
2,3,25574,0,6,0,6,19.5
2,4,25574,0,0,0,0,19.5
2,5,25569,0,5,0,5,19.5
2,6,25560,0,9,0,9,19.5
2,7,25560,0,0,0,0,19.5
2,8,25553,0,7,0,7,19.5
2,9,25553,0,0,0,0,19.5
2,10,25547,0,6,0,6,19.5
2,11,25538,0,9,0,9,19.5
2,12,25538,0,0,0,0,19.5
2,13,25530,0,8,0,8,19.5
2,14,25530,0,0,0,0,19.5
2,15,25524,0,6,0,6,19.5
2,16,25524,0,0,0,0,19.5
2,17,25519,0,5,0,5,19.5
2,18,25510,0,9,0,9,19.5
2,19,25510,0,0,0,0,19.5
2,20,25503,0,7,0,7,19.5
2,21,25503,0,0,0,0,19.5
2,22,25497,0,6,0,6,19.5
2,23,25488,0,9,0,9,19.5
2,24,25488,0,0,0,0,19.5
2,25,25480,0,8,0,8,19.5
2,26,25480,0,0,0,0,19.5
2,27,25474,0,6,0,6,19.5
2,28,25474,0,0,0,0,19.5
2,29,25469,0,5,0,5,19.5
2,30,25460,0,9,0,9,19.5
2,31,25460,0,0,0,0,19.5
2,32,25453,0,7,0,7,19.5
2,33,25453,0,0,0,0,19.5
2,34,25447,0,6,0,6,19.5
2,35,25438,0,9,0,9,19.5
2,36,25438,0,0,0,0,19.5
2,37,25430,0,8,0,8,19.5
2,38,25430,0,0,0,0,19.5
2,39,25424,0,6,0,6,19.5
2,40,25424,0,0,0,0,19.5
2,41,25419,0,5,0,5,19.5
2,42,25410,0,9,0,9,19.5
2,43,25410,0,0,0,0,19.5
2,44,25403,0,7,0,7,19.6
2,45,25403,0,0,0,0,19.6
2,46,25397,0,6,0,6,19.6
2,47,25388,0,9,0,9,19.6
2,48,25388,0,0,0,0,19.6
2,49,25380,0,8,0,8,19.6
2,50,25380,0,0,0,0,19.6
2,51,25374,0,6,0,6,19.6
2,52,25365,0,9,0,9,19.6
3,0,25365,0,0,0,0,19.6
3,1,25357,0,8,0,8,19.6
3,2,25357,0,0,0,0,19.6
3,3,25351,0,6,0,6,19.6
3,4,25351,0,0,0,0,19.6
3,5,25346,0,5,0,5,19.6
3,6,25337,0,9,0,9,19.6
3,7,25337,0,0,0,0,19.6
3,8,25330,0,7,0,7,19.6
3,9,25330,0,0,0,0,19.6
