heartbeat,step,alive,killed_terminal,killed_exit,killed_precision,total_killed,elapsed_s
0,0,8219648,305456,162880,16080,484416,13.2
0,1,2360405,91151,34251,0,125402,15.0
0,2,707836,18226,8809,0,27035,15.3
0,3,213851,5917,2296,0,8213,15.3
0,4,136788,2928,729,0,3657,15.3
0,5,105687,1951,378,0,2329,15.3
0,6,85495,1762,291,0,2053,15.4
0,7,70331,1550,232,0,1782,15.4
0,8,59363,970,170,0,1140,15.4
0,9,50382,967,155,0,1122,15.4
0,10,43407,966,121,0,1087,15.4
0,11,38418,966,107,0,1073,15.4
0,12,34229,964,94,0,1058,15.4
0,13,30637,777,75,0,852,15.4
0,14,27063,771,72,0,843,15.4
0,15,23694,580,58,0,638,15.4
0,16,20719,389,52,0,441,15.4
0,17,18342,390,38,0,428,15.4
0,18,16742,391,36,0,427,15.4
0,19,15353,390,24,0,414,15.4
0,20,13959,391,27,0,418,15.4
0,21,12772,389,20,0,409,15.4
0,22,11972,390,22,0,412,15.4
0,23,11364,390,24,0,414,15.4
0,24,10771,389,12,0,401,15.4
0,25,10363,390,18,0,408,15.4
0,26,9966,388,9,0,397,15.4
0,27,9561,390,15,0,405,15.4
0,28,9167,387,7,0,394,15.4
0,29,8766,388,13,0,401,15.4
0,30,8362,388,16,0,404,15.4
0,31,7970,388,4,0,392,15.4
0,32,7568,388,14,0,402,15.4
0,33,7179,386,3,0,389,15.4
0,34,6974,196,9,0,205,15.4
0,35,6765,196,13,0,209,15.4
0,36,6568,197,0,0,197,15.4
0,37,6361,196,11,0,207,15.4
0,38,6165,196,0,0,196,15.4
0,39,5960,196,9,0,205,15.4
0,40,5764,196,0,0,196,15.4
0,41,5560,196,8,0,204,15.4
0,42,5353,196,11,0,207,15.4
0,43,5157,196,0,0,196,15.4
0,44,4951,196,10,0,206,15.4
0,45,4755,196,0,0,196,15.4
0,46,4552,196,7,0,203,15.4
0,47,4346,196,10,0,206,15.4
0,48,4150,196,0,0,196,15.4
0,49,3946,195,9,0,204,15.4
0,50,3751,195,0,0,195,15.4
0,51,3549,195,7,0,202,15.4
0,52,3344,195,10,0,205,15.4
1,0,3149,195,0,0,195,15.4
1,1,2945,195,9,0,204,15.4
1,2,2750,195,0,0,195,15.4
1,3,2548,195,7,0,202,15.4
1,4,2353,195,0,0,195,15.4
1,5,2346,0,7,0,7,15.4
1,6,2337,0,9,0,9,15.4
1,7,2337,0,0,0,0,15.4
1,8,2329,0,8,0,8,15.4
1,9,2329,0,0,0,0,15.4
1,10,2322,0,7,0,7,15.4
1,11,2313,0,9,0,9,15.4
1,12,2313,0,0,0,0,15.4
1,13,2305,0,8,0,8,15.4
1,14,2305,0,0,0,0,15.4
1,15,2298,0,7,0,7,15.4
1,16,2298,0,0,0,0,15.4
1,17,2291,0,7,0,7,15.4
1,18,2282,0,9,0,9,15.4
1,19,2282,0,0,0,0,15.4
1,20,2274,0,8,0,8,15.4
1,21,2274,0,0,0,0,15.4
1,22,2267,0,7,0,7,15.4
1,23,2258,0,9,0,9,15.4
1,24,2258,0,0,0,0,15.4
1,25,2250,0,8,0,8,15.4
1,26,2250,0,0,0,0,15.4
1,27,2243,0,7,0,7,15.4
1,28,2243,0,0,0,0,15.4
1,29,2236,0,7,0,7,15.4
1,30,2227,0,9,0,9,15.4
1,31,2227,0,0,0,0,15.4
1,32,2219,0,8,0,8,15.4
1,33,2219,0,0,0,0,15.4
1,34,2212,0,7,0,7,15.4
1,35,2203,0,9,0,9,15.4
1,36,2203,0,0,0,0,15.4
1,37,2195,0,8,0,8,15.4
1,38,2195,0,0,0,0,15.4
1,39,2188,0,7,0,7,15.4
1,40,2188,0,0,0,0,15.4
1,41,2181,0,7,0,7,15.4
1,42,2172,0,9,0,9,15.4
1,43,2172,0,0,0,0,15.4
1,44,2164,0,8,0,8,15.4
1,45,2164,0,0,0,0,15.4
1,46,2157,0,7,0,7,15.4
1,47,2148,0,9,0,9,15.4
1,48,2148,0,0,0,0,15.4
1,49,2140,0,8,0,8,15.4
1,50,2140,0,0,0,0,15.4
1,51,2133,0,7,0,7,15.4
1,52,2124,0,9,0,9,15.4
2,0,2124,0,0,0,0,15.4
2,1,2116,0,8,0,8,15.4
2,2,2116,0,0,0,0,15.4
2,3,2109,0,7,0,7,15.4
2,4,2109,0,0,0,0,15.4
2,5,2102,0,7,0,7,15.4
2,6,2093,0,9,0,9,15.4
2,7,2093,0,0,0,0,15.4
2,8,2085,0,8,0,8,15.4
2,9,2085,0,0,0,0,15.4
2,10,2078,0,7,0,7,15.4
2,11,2069,0,9,0,9,15.4
2,12,2069,0,0,0,0,15.4
2,13,2061,0,8,0,8,15.4
2,14,2061,0,0,0,0,15.4
2,15,2054,0,7,0,7,15.4
2,16,2054,0,0,0,0,15.5
2,17,2047,0,7,0,7,15.5
2,18,2038,0,9,0,9,15.5
2,19,2038,0,0,0,0,15.5
2,20,2030,0,8,0,8,15.5
2,21,2030,0,0,0,0,15.5
2,22,2023,0,7,0,7,15.5
2,23,2014,0,9,0,9,15.5
2,24,2014,0,0,0,0,15.5
2,25,2006,0,8,0,8,15.5
2,26,2006,0,0,0,0,15.5
2,27,1999,0,7,0,7,15.5
2,28,1999,0,0,0,0,15.5
2,29,1992,0,7,0,7,15.5
2,30,1983,0,9,0,9,15.5
2,31,1983,0,0,0,0,15.5
2,32,1975,0,8,0,8,15.5
2,33,1975,0,0,0,0,15.5
2,34,1968,0,7,0,7,15.5
2,35,1959,0,9,0,9,15.5
2,36,1959,0,0,0,0,15.5
2,37,1951,0,8,0,8,15.5
2,38,1951,0,0,0,0,15.5
2,39,1944,0,7,0,7,15.5
2,40,1944,0,0,0,0,15.5
2,41,1937,0,7,0,7,15.5
2,42,1928,0,9,0,9,15.5
2,43,1928,0,0,0,0,15.5
2,44,1920,0,8,0,8,15.5
2,45,1920,0,0,0,0,15.5
2,46,1913,0,7,0,7,15.5
2,47,1904,0,9,0,9,15.5
2,48,1904,0,0,0,0,15.5
2,49,1896,0,8,0,8,15.5
2,50,1896,0,0,0,0,15.5
2,51,1889,0,7,0,7,15.5
2,52,1880,0,9,0,9,15.5
3,0,1880,0,0,0,0,15.5
3,1,1872,0,8,0,8,15.5
3,2,1872,0,0,0,0,15.5
3,3,1865,0,7,0,7,15.5
3,4,1865,0,0,0,0,15.5
3,5,1858,0,7,0,7,15.5
3,6,1849,0,9,0,9,15.5
3,7,1849,0,0,0,0,15.5
3,8,1841,0,8,0,8,15.5
3,9,1841,0,0,0,0,15.5
3,10,1834,0,7,0,7,15.5
3,11,1825,0,9,0,9,15.5
3,12,1825,0,0,0,0,15.5
3,13,1817,0,8,0,8,15.5
3,14,1817,0,0,0,0,15.5
3,15,1810,0,7,0,7,15.5
3,16,1810,0,0,0,0,15.5
3,17,1803,0,7,0,7,15.5
3,18,1794,0,9,0,9,15.5
3,19,1794,0,0,0,0,15.5
3,20,1786,0,8,0,8,15.5
3,21,1786,0,0,0,0,15.5
3,22,1779,0,7,0,7,15.5
3,23,1770,0,9,0,9,15.5
3,24,1770,0,0,0,0,15.5
3,25,1762,0,8,0,8,15.5
3,26,1762,0,0,0,0,15.5
3,27,1755,0,7,0,7,15.5
3,28,1755,0,0,0,0,15.5
3,29,1748,0,7,0,7,15.5
3,30,1739,0,9,0,9,15.5
3,31,1739,0,0,0,0,15.5
3,32,1731,0,8,0,8,15.5
3,33,1731,0,0,0,0,15.5
3,34,1724,0,7,0,7,15.5
3,35,1715,0,9,0,9,15.5
