C,climb_cap_corridor,per_letter_pct
1,1,1.8867924528301887
2,1,1.8867924528301887
3,3,5.660377358490566
4,3,5.660377358490566
5,5,9.433962264150944
6,5,9.433962264150944
7,7,13.20754716981132
8,7,13.20754716981132
9,9,16.9811320754717
10,9,16.9811320754717
11,11,20.754716981132077
12,11,20.754716981132077
13,13,24.528301886792452
14,13,24.528301886792452
15,15,28.30188679245283
