source,start_n,k0,L,n_upcrossings,d_before,d_after,x_entry,word
breach_candidate,80615,16,9,1,0,5,103423,111111111
breach_candidate,37583,0,3,1,0,1,37583,111
breach_candidate,37583,4,3,1,0,2,47567,111
breach_candidate,1583,0,3,1,0,1,1583,111
breach_candidate,1583,5,5,2,1,3,3007,11111
breach_candidate,1583,11,1,1,4,4,17131,1
breach_candidate,1583,30,2,1,5,5,37111,11
breach_candidate,32879,0,3,1,0,1,32879,111
breach_candidate,32879,6,5,3,2,4,93631,11111
breach_candidate,32879,12,3,1,4,5,533263,111
breach_candidate,550907,6,3,2,1,2,784399,111
breach_candidate,133883,4,2,1,0,1,169447,11
breach_candidate,133883,7,2,1,1,2,285943,11
breach_candidate,413531,2,2,1,0,1,465223,11
breach_candidate,413531,6,9,4,1,5,588799,111111111
breach_candidate,660059,2,2,1,0,1,742567,11
breach_candidate,660059,7,2,1,1,2,1409719,11
breach_candidate,100763,2,3,1,0,1,113359,111
breach_candidate,100763,6,3,1,1,2,143471,111
breach_candidate,100763,12,3,1,2,3,408559,111
breach_candidate,100763,16,2,1,3,4,1034167,11
breach_candidate,347291,2,3,1,0,1,390703,111
breach_candidate,347291,7,4,2,1,3,741727,1111
breach_candidate,4504571,7,5,3,0,3,4810303,11111
breach_candidate,2375675,6,1,1,1,1,3382555,1
breach_candidate,2375675,8,5,2,1,3,3805375,11111
breach_candidate,2725883,6,2,1,1,1,3881191,11
breach_candidate,2725883,9,2,1,1,2,6549511,11
breach_candidate,253691,4,2,1,0,1,321079,11
breach_candidate,253691,7,5,2,0,3,270911,11111
breach_candidate,3433211,4,2,1,0,1,4345159,11
breach_candidate,3433211,8,3,1,1,2,5499343,111
breach_candidate,3783419,4,2,1,0,1,4788391,11
breach_candidate,3783419,9,4,2,1,3,9090463,1111
breach_candidate,3783419,16,3,2,3,5,38829775,111
breach_candidate,3783419,20,6,2,4,7,49143935,111111
breach_candidate,4283387,9,3,2,0,2,5145871,111
breach_candidate,818171,7,2,1,0,1,873703,11
breach_candidate,818171,10,2,1,1,2,1474375,11
breach_candidate,12663803,7,3,1,0,1,13523311,111
breach_candidate,12663803,11,1,1,2,2,34230883,1
breach_candidate,5693435,6,1,1,1,1,8106475,1
breach_candidate,5693435,9,4,1,0,2,6839839,1111
breach_candidate,2228219,6,1,1,1,1,3172603,1
breach_candidate,2228219,10,4,2,1,3,4015327,1111
breach_candidate,14073851,6,1,1,1,1,20038747,1
breach_candidate,14073851,11,2,1,2,2,38042311,11
breach_candidate,13711355,6,2,1,1,1,19522615,11
breach_candidate,13711355,9,3,1,0,2,16472207,111
breach_candidate,10246139,6,2,1,1,1,14588743,11
breach_candidate,10246139,10,2,1,1,2,18463879,11
breach_candidate,858107,6,2,1,1,1,1221799,11
breach_candidate,858107,11,2,1,2,2,2319511,11
breach_candidate,94526459,11,5,3,1,3,127754815,11111
breach_candidate,5463035,9,2,1,0,1,6563047,11
breach_candidate,5463035,12,2,1,1,2,11075143,11
breach_candidate,58031099,7,2,1,0,1,61969735,11
breach_candidate,58031099,11,3,1,1,2,78430447,111
breach_candidate,58031099,15,4,2,2,4,198527071,1111
breach_candidate,138836987,7,2,1,0,1,148260007,11
breach_candidate,138836987,12,2,1,1,2,281462359,11
breach_candidate,33700859,7,3,1,0,1,35988175,111
breach_candidate,33700859,11,3,1,1,2,45547535,111
breach_candidate,114506747,7,3,1,0,1,122278447,111
breach_candidate,114506747,12,2,1,1,2,232137991,11
breach_candidate,299785211,12,5,2,0,2,303875263,11111
breach_candidate,306863099,11,1,1,1,1,414732955,1
breach_candidate,306863099,13,3,1,1,2,466574575,111
breach_candidate,306863099,17,5,2,2,4,1181016895,11111
breach_candidate,764566523,11,2,1,1,1,1033330279,11
breach_candidate,764566523,14,3,1,1,2,1743744847,111
breach_candidate,764566523,20,7,2,1,4,1241396479,1111111
breach_candidate,1324309499,9,2,1,0,1,1590965815,11
breach_candidate,1324309499,12,5,1,0,2,1342377407,11111
breach_candidate,1324309499,18,3,2,3,4,7645258831,111
breach_candidate,1331387387,9,2,1,0,1,1599468871,11
