alphabet,m,word,D,n_optimal
"{0,1,2,3}",7,3332330,2,2
"{0,1,2,3}",7,3332331,1,2
"{0,1,2,3}",7,3332332,0,2
"{0,1,2,3}",7,3332333,0,4
"{0,1,2,3}",7,3333133,0,2
"{0,1,2,3}",7,3333223,0,2
"{0,1,2,3}",7,3333230,2,2
"{0,1,2,3}",7,3333231,1,2
"{0,1,2,3}",7,3333232,0,2
"{0,1,2,3}",7,3333233,0,3
"{0,1,2,3}",7,3333300,4,2
"{0,1,2,3}",7,3333301,3,2
"{0,1,2,3}",7,3333302,2,2
"{0,1,2,3}",7,3333303,1,2
"{0,1,2,3}",7,3333310,3,2
"{0,1,2,3}",7,3333311,2,2
"{0,1,2,3}",7,3333312,1,2
"{0,1,2,3}",7,3333313,0,2
"{0,1,2,3}",7,3333320,2,2
"{0,1,2,3}",7,3333321,1,2
"{0,1,2,3}",7,3333322,0,2
"{0,1,2,3}",7,3333323,0,3
"{0,1,2,3}",7,3333330,2,3
"{0,1,2,3}",7,3333331,1,3
"{0,1,2,3}",7,3333332,0,3
"{0,1,2,3}",7,3333333,0,5
