family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,8,81,59,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,61,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,62,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,64,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,65,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,67,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,68,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,70,6,,NO_RAY_TOUCHED,,
golden-per8,8,81,71,1,,NO_RAY_TOUCHED,,
golden-per8,8,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,74,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,76,1,,NO_RAY_TOUCHED,,
golden-per8,8,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,79,6,,NO_RAY_TOUCHED,,
golden-per8,8,81,80,2,,NO_RAY_TOUCHED,,
golden-per8,9,27,1,3,3,True,+1,
golden-per8,9,27,2,2,3,False,+1,
golden-per8,9,27,4,4,,NO_RAY_TOUCHED,,
golden-per8,9,27,5,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,7,6,,NO_RAY_TOUCHED,,
golden-per8,9,27,8,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,10,2,,NO_RAY_TOUCHED,,
golden-per8,9,27,11,4,,NO_RAY_TOUCHED,,
golden-per8,9,27,13,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,14,5,,NO_RAY_TOUCHED,,
golden-per8,9,27,16,6,,NO_RAY_TOUCHED,,
golden-per8,9,27,17,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,19,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,20,1,,NO_RAY_TOUCHED,,
golden-per8,9,27,22,3,,NO_RAY_TOUCHED,,
golden-per8,9,27,23,5,,NO_RAY_TOUCHED,,
golden-per8,9,27,25,7,,NO_RAY_TOUCHED,,
golden-per8,9,27,26,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,1,3,3,True,+1,
golden-per8,9,81,2,2,3,False,+1,
golden-per8,9,81,4,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,5,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,7,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,8,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,10,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,11,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,13,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,14,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,16,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,17,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,19,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,20,1,,NO_RAY_TOUCHED,,
golden-per8,9,81,22,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,23,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,25,7,,NO_RAY_TOUCHED,,
golden-per8,9,81,26,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,28,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,29,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,31,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,32,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,34,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,35,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,37,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,38,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,40,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,41,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,44,2,,NO_RAY_TOUCHED,,
golden-per8,9,81,46,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,47,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,49,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,50,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,52,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,53,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,55,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,56,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,58,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,59,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,61,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,62,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,64,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,65,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,67,3,,NO_RAY_TOUCHED,,
