label,m,L,kstar_0idx,kstar_eq_m,witness_replay_ok,witness_ceiling_legal,witness_achieved,d_ceil_true_min,d_ceil_wall_hit,d_ceil_nodes,d_ceil_argmin_a_seq,d_ceil_argmin_rho_end,d_ceil_replay_ok,status,verdict
true-word,29,12,28,True,True,True,11,11,False,34781,"(4, 3, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 2, 1, 1)",839,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,30,12,28,False,True,True,11,11,False,34821,"(4, 3, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1)",559,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,31,12,28,False,True,True,11,11,False,34861,"(4, 3, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2)",745,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,32,13,31,True,True,True,11,11,False,47341,"(4, 3, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2)",993,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,33,13,31,False,True,True,11,11,False,47421,"(4, 3, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1, 4, 1, 2)",2649,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,34,14,33,True,True,True,11,11,False,64461,"(4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2)",121,True,OK,UNIVERSALITY BREAKS (D<L)
true-word,35,14,33,False,True,True,11,11,False,64541,"(4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2)",161,True,OK,UNIVERSALITY BREAKS (D<L)
sqrt2-per12,24,14,23,True,True,True,13,13,False,33541,"(4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1)",111,True,OK,UNIVERSALITY BREAKS (D<L)
