alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",5,32321,2,0,-2
"{1,2,3}",5,32322,2,0,-2
"{1,2,3}",5,32323,2,0,-3
"{1,2,3}",5,32331,4,0,-3
"{1,2,3}",5,32332,3,0,-3
"{1,2,3}",5,32333,3,0,-4
"{1,2,3}",5,33111,2,1,-2
"{1,2,3}",5,33112,2,0,-2
"{1,2,3}",5,33113,2,0,-2
"{1,2,3}",5,33121,2,0,-2
"{1,2,3}",5,33122,2,0,-2
"{1,2,3}",5,33123,2,0,-2
"{1,2,3}",5,33131,2,0,-2
"{1,2,3}",5,33132,2,0,-2
"{1,2,3}",5,33133,2,0,-3
"{1,2,3}",5,33211,1,0,-2
"{1,2,3}",5,33212,1,0,-2
"{1,2,3}",5,33213,1,0,-2
"{1,2,3}",5,33221,1,0,-2
"{1,2,3}",5,33222,1,0,-2
"{1,2,3}",5,33223,1,0,-3
"{1,2,3}",5,33231,3,0,-3
"{1,2,3}",5,33232,3,0,-3
"{1,2,3}",5,33233,3,0,-4
"{1,2,3}",5,33311,1,0,-3
"{1,2,3}",5,33312,1,0,-3
"{1,2,3}",5,33313,1,0,-3
"{1,2,3}",5,33321,3,0,-3
"{1,2,3}",5,33322,3,0,-3
"{1,2,3}",5,33323,3,0,-4
"{1,2,3}",5,33331,3,0,-4
"{1,2,3}",5,33332,2,0,-4
"{1,2,3}",5,33333,2,0,-5
"{1,2,3}",6,123311,3,1,-1
"{1,2,3}",6,123312,3,1,-1
"{1,2,3}",6,123313,3,1,-1
"{1,2,3}",6,123321,2,1,-1
"{1,2,3}",6,123322,2,1,-1
"{1,2,3}",6,123323,2,1,-2
"{1,2,3}",6,123331,2,1,-2
"{1,2,3}",6,132311,3,1,-1
"{1,2,3}",6,132312,3,1,-1
"{1,2,3}",6,132313,3,1,-1
"{1,2,3}",6,132321,2,1,-1
"{1,2,3}",6,132322,2,1,-1
"{1,2,3}",6,132323,2,1,-2
"{1,2,3}",6,132331,2,1,-2
"{1,2,3}",6,133111,3,2,-1
"{1,2,3}",6,133112,3,1,-1
"{1,2,3}",6,133113,3,1,-1
"{1,2,3}",6,133121,3,1,-1
"{1,2,3}",6,133122,3,1,-1
"{1,2,3}",6,133123,3,1,-1
"{1,2,3}",6,133131,3,1,-1
"{1,2,3}",6,133132,3,1,-1
"{1,2,3}",6,133133,3,1,-2
"{1,2,3}",6,133211,2,1,-1
"{1,2,3}",6,133212,2,1,-1
"{1,2,3}",6,133213,2,1,-1
"{1,2,3}",6,133221,2,1,-1
"{1,2,3}",6,133222,2,1,-1
"{1,2,3}",6,133223,2,1,-2
"{1,2,3}",6,133231,2,1,-2
"{1,2,3}",6,133232,2,1,-2
"{1,2,3}",6,133233,2,1,-3
"{1,2,3}",6,133311,2,1,-2
"{1,2,3}",6,133312,2,1,-2
"{1,2,3}",6,133313,2,1,-2
"{1,2,3}",6,213311,3,1,-1
"{1,2,3}",6,213312,3,1,-1
"{1,2,3}",6,213313,3,1,-1
"{1,2,3}",6,213321,2,1,-1
"{1,2,3}",6,213322,2,1,-1
"{1,2,3}",6,213323,2,1,-2
"{1,2,3}",6,213331,2,1,-2
"{1,2,3}",6,222223,1,0,-1
"{1,2,3}",6,222231,1,0,-1
"{1,2,3}",6,222232,1,0,-1
"{1,2,3}",6,222233,1,0,-2
"{1,2,3}",6,222311,3,1,-1
"{1,2,3}",6,222312,3,0,-1
"{1,2,3}",6,222313,3,0,-1
"{1,2,3}",6,222321,2,0,-1
"{1,2,3}",6,222322,2,0,-1
"{1,2,3}",6,222323,2,0,-2
"{1,2,3}",6,222331,2,0,-2
"{1,2,3}",6,222332,1,0,-2
"{1,2,3}",6,222333,1,0,-3
"{1,2,3}",6,223111,3,2,-1
"{1,2,3}",6,223112,3,1,-1
"{1,2,3}",6,223113,3,1,-1
"{1,2,3}",6,223121,3,1,-1
"{1,2,3}",6,223122,3,0,-1
"{1,2,3}",6,223123,3,0,-1
"{1,2,3}",6,223131,3,0,-1
"{1,2,3}",6,223132,3,0,-1
"{1,2,3}",6,223133,3,0,-2
"{1,2,3}",6,223211,2,1,-1
"{1,2,3}",6,223212,2,0,-1
"{1,2,3}",6,223213,2,0,-1
"{1,2,3}",6,223221,2,0,-1
"{1,2,3}",6,223222,2,0,-1
"{1,2,3}",6,223223,2,0,-2
"{1,2,3}",6,223231,2,0,-2
"{1,2,3}",6,223232,2,0,-2
"{1,2,3}",6,223233,2,0,-3
"{1,2,3}",6,223311,2,0,-2
"{1,2,3}",6,223312,2,0,-2
"{1,2,3}",6,223313,2,0,-2
"{1,2,3}",6,223321,1,0,-2
"{1,2,3}",6,223322,1,0,-2
"{1,2,3}",6,223323,1,0,-3
"{1,2,3}",6,223331,1,0,-3
"{1,2,3}",6,223332,1,0,-3
"{1,2,3}",6,223333,1,0,-4
"{1,2,3}",6,231111,4,3,-1
"{1,2,3}",6,231112,3,2,-1
"{1,2,3}",6,231113,3,2,-1
"{1,2,3}",6,231121,3,2,-1
"{1,2,3}",6,231122,3,1,-1
"{1,2,3}",6,231123,3,1,-1
"{1,2,3}",6,231131,3,1,-1
"{1,2,3}",6,231132,3,1,-1
"{1,2,3}",6,231133,3,1,-1
"{1,2,3}",6,231211,3,2,-1
"{1,2,3}",6,231212,3,1,-1
"{1,2,3}",6,231213,3,1,-1
"{1,2,3}",6,231221,3,1,-1
"{1,2,3}",6,231222,3,0,-1
"{1,2,3}",6,231223,3,0,-1
"{1,2,3}",6,231231,3,0,-1
"{1,2,3}",6,231232,3,0,-1
"{1,2,3}",6,231233,3,0,-2
"{1,2,3}",6,231311,3,1,-1
"{1,2,3}",6,231312,3,0,-1
"{1,2,3}",6,231313,3,0,-1
"{1,2,3}",6,231321,3,0,-1
"{1,2,3}",6,231322,3,0,-1
"{1,2,3}",6,231323,3,0,-2
"{1,2,3}",6,231331,3,0,-2
"{1,2,3}",6,231332,3,0,-2
"{1,2,3}",6,231333,3,0,-3
"{1,2,3}",6,232111,3,2,-1
"{1,2,3}",6,232112,2,1,-1
"{1,2,3}",6,232113,2,1,-1
"{1,2,3}",6,232121,2,1,-1
"{1,2,3}",6,232122,2,0,-1
"{1,2,3}",6,232123,2,0,-1
"{1,2,3}",6,232131,2,0,-1
"{1,2,3}",6,232132,2,0,-1
"{1,2,3}",6,232133,2,0,-2
"{1,2,3}",6,232211,2,1,-1
"{1,2,3}",6,232212,2,0,-1
"{1,2,3}",6,232213,2,0,-1
"{1,2,3}",6,232221,2,0,-1
"{1,2,3}",6,232222,2,0,-1
"{1,2,3}",6,232223,2,0,-2
"{1,2,3}",6,232231,2,0,-2
"{1,2,3}",6,232232,2,0,-2
"{1,2,3}",6,232233,2,0,-3
"{1,2,3}",6,232311,2,0,-2
"{1,2,3}",6,232312,2,0,-2
"{1,2,3}",6,232313,2,0,-2
"{1,2,3}",6,232321,2,0,-2
"{1,2,3}",6,232322,2,0,-2
"{1,2,3}",6,232323,2,0,-3
"{1,2,3}",6,232331,2,0,-3
"{1,2,3}",6,232332,2,0,-3
"{1,2,3}",6,232333,2,0,-4
"{1,2,3}",6,233111,2,1,-2
"{1,2,3}",6,233112,2,0,-2
"{1,2,3}",6,233113,2,0,-2
"{1,2,3}",6,233121,2,0,-2
"{1,2,3}",6,233122,2,0,-2
"{1,2,3}",6,233123,2,0,-2
"{1,2,3}",6,233131,2,0,-2
"{1,2,3}",6,233132,2,0,-2
"{1,2,3}",6,233133,2,0,-3
"{1,2,3}",6,233211,1,0,-2
