alphabet,m,word,D_ceil,L,min_g_loop
"{0,1,2,3}",6,301330,5,2,-1
"{0,1,2,3}",6,301331,5,2,-1
"{0,1,2,3}",6,301332,5,2,-1
"{0,1,2,3}",6,301333,5,2,-1
"{0,1,2,3}",6,302000,8,7,-1
"{0,1,2,3}",6,302001,7,6,-1
"{0,1,2,3}",6,302002,6,5,-1
"{0,1,2,3}",6,302003,6,5,-1
"{0,1,2,3}",6,302010,7,6,-1
"{0,1,2,3}",6,302011,6,5,-1
"{0,1,2,3}",6,302012,5,4,-1
"{0,1,2,3}",6,302013,5,4,-1
"{0,1,2,3}",6,302020,6,5,-1
"{0,1,2,3}",6,302021,5,4,-1
"{0,1,2,3}",6,302022,5,3,-1
"{0,1,2,3}",6,302023,5,3,-1
"{0,1,2,3}",6,302030,5,4,-1
"{0,1,2,3}",6,302031,5,3,-1
"{0,1,2,3}",6,302032,5,3,-1
"{0,1,2,3}",6,302033,5,3,-1
"{0,1,2,3}",6,302100,7,6,-1
"{0,1,2,3}",6,302101,6,5,-1
"{0,1,2,3}",6,302102,5,4,-1
"{0,1,2,3}",6,302103,5,4,-1
"{0,1,2,3}",6,302110,6,5,-1
"{0,1,2,3}",6,302111,5,4,-1
"{0,1,2,3}",6,302112,4,3,-1
"{0,1,2,3}",6,302113,4,3,-1
"{0,1,2,3}",6,302120,5,4,-1
"{0,1,2,3}",6,302121,4,3,-1
"{0,1,2,3}",6,302122,4,2,-1
"{0,1,2,3}",6,302123,4,2,-1
"{0,1,2,3}",6,302130,4,3,-1
"{0,1,2,3}",6,302131,4,2,-1
"{0,1,2,3}",6,302132,4,2,-1
"{0,1,2,3}",6,302133,4,2,-1
"{0,1,2,3}",6,302200,6,5,-1
"{0,1,2,3}",6,302201,5,4,-1
"{0,1,2,3}",6,302202,4,3,-1
"{0,1,2,3}",6,302203,4,3,-1
"{0,1,2,3}",6,302210,5,4,-1
"{0,1,2,3}",6,302211,4,3,-1
"{0,1,2,3}",6,302212,4,2,-1
"{0,1,2,3}",6,302213,4,2,-1
"{0,1,2,3}",6,302220,4,3,-1
"{0,1,2,3}",6,302221,4,2,-1
"{0,1,2,3}",6,302222,4,1,-1
"{0,1,2,3}",6,302223,4,1,-1
"{0,1,2,3}",6,302230,4,2,-1
"{0,1,2,3}",6,302231,4,1,-1
"{0,1,2,3}",6,302232,4,1,-1
"{0,1,2,3}",6,302233,4,1,-1
"{0,1,2,3}",6,302300,5,4,-1
"{0,1,2,3}",6,302301,4,3,-1
"{0,1,2,3}",6,302302,4,2,-1
"{0,1,2,3}",6,302303,4,2,-1
"{0,1,2,3}",6,302310,4,3,-1
"{0,1,2,3}",6,302311,4,2,-1
"{0,1,2,3}",6,302312,4,1,-1
"{0,1,2,3}",6,302313,4,1,-1
"{0,1,2,3}",6,302320,4,2,-1
"{0,1,2,3}",6,302321,4,1,-1
"{0,1,2,3}",6,302322,4,1,-1
"{0,1,2,3}",6,302323,4,1,-1
"{0,1,2,3}",6,302330,4,1,-1
"{0,1,2,3}",6,302331,4,1,-1
"{0,1,2,3}",6,302332,4,1,-1
"{0,1,2,3}",6,302333,4,1,-2
"{0,1,2,3}",6,303000,7,6,-1
"{0,1,2,3}",6,303001,6,5,-1
"{0,1,2,3}",6,303002,5,4,-1
"{0,1,2,3}",6,303003,5,4,-1
"{0,1,2,3}",6,303010,6,5,-1
"{0,1,2,3}",6,303011,5,4,-1
"{0,1,2,3}",6,303012,4,3,-1
"{0,1,2,3}",6,303013,4,3,-1
"{0,1,2,3}",6,303020,5,4,-1
"{0,1,2,3}",6,303021,4,3,-1
"{0,1,2,3}",6,303022,4,2,-1
"{0,1,2,3}",6,303023,4,2,-1
"{0,1,2,3}",6,303030,4,3,-1
"{0,1,2,3}",6,303031,4,2,-1
"{0,1,2,3}",6,303032,4,2,-1
"{0,1,2,3}",6,303033,4,2,-1
"{0,1,2,3}",6,303100,6,5,-1
"{0,1,2,3}",6,303101,5,4,-1
"{0,1,2,3}",6,303102,4,3,-1
"{0,1,2,3}",6,303103,4,3,-1
"{0,1,2,3}",6,303110,5,4,-1
"{0,1,2,3}",6,303111,4,3,-1
"{0,1,2,3}",6,303112,4,2,-1
"{0,1,2,3}",6,303113,4,2,-1
"{0,1,2,3}",6,303120,4,3,-1
"{0,1,2,3}",6,303121,4,2,-1
"{0,1,2,3}",6,303122,4,1,-1
"{0,1,2,3}",6,303123,4,1,-1
"{0,1,2,3}",6,303130,4,2,-1
"{0,1,2,3}",6,303131,4,1,-1
"{0,1,2,3}",6,303132,4,1,-1
"{0,1,2,3}",6,303133,4,1,-1
"{0,1,2,3}",6,303200,5,4,-1
"{0,1,2,3}",6,303201,4,3,-1
"{0,1,2,3}",6,303202,4,2,-1
"{0,1,2,3}",6,303203,4,2,-1
"{0,1,2,3}",6,303210,4,3,-1
"{0,1,2,3}",6,303211,4,2,-1
"{0,1,2,3}",6,303212,4,1,-1
"{0,1,2,3}",6,303213,4,1,-1
"{0,1,2,3}",6,303220,4,2,-1
"{0,1,2,3}",6,303221,4,1,-1
"{0,1,2,3}",6,303222,4,1,-1
"{0,1,2,3}",6,303223,4,1,-1
"{0,1,2,3}",6,303230,4,1,-1
"{0,1,2,3}",6,303231,4,1,-1
"{0,1,2,3}",6,303232,4,1,-1
"{0,1,2,3}",6,303233,4,1,-2
"{0,1,2,3}",6,303300,4,3,-1
"{0,1,2,3}",6,303301,4,2,-1
"{0,1,2,3}",6,303302,4,1,-1
"{0,1,2,3}",6,303303,4,1,-1
"{0,1,2,3}",6,303310,4,2,-1
"{0,1,2,3}",6,303311,4,1,-1
"{0,1,2,3}",6,303312,4,1,-1
"{0,1,2,3}",6,303313,4,1,-1
"{0,1,2,3}",6,303320,4,1,-1
"{0,1,2,3}",6,303321,4,1,-1
"{0,1,2,3}",6,303322,4,1,-1
"{0,1,2,3}",6,303323,4,1,-2
"{0,1,2,3}",6,303330,4,1,-2
"{0,1,2,3}",6,303331,4,1,-2
"{0,1,2,3}",6,303332,4,1,-2
"{0,1,2,3}",6,303333,4,1,-3
"{0,1,2,3}",6,310000,9,8,-1
"{0,1,2,3}",6,310001,8,7,-1
"{0,1,2,3}",6,310002,7,6,-1
"{0,1,2,3}",6,310003,7,6,-1
"{0,1,2,3}",6,310010,8,7,-1
"{0,1,2,3}",6,310011,7,6,-1
"{0,1,2,3}",6,310012,6,5,-1
"{0,1,2,3}",6,310013,6,5,-1
"{0,1,2,3}",6,310020,7,6,-1
"{0,1,2,3}",6,310021,6,5,-1
"{0,1,2,3}",6,310022,6,4,-1
"{0,1,2,3}",6,310023,6,4,-1
"{0,1,2,3}",6,310030,6,5,-1
"{0,1,2,3}",6,310031,6,4,-1
"{0,1,2,3}",6,310032,6,4,-1
"{0,1,2,3}",6,310033,6,4,-1
"{0,1,2,3}",6,310100,8,7,-1
"{0,1,2,3}",6,310101,7,6,-1
"{0,1,2,3}",6,310102,6,5,-1
"{0,1,2,3}",6,310103,6,5,-1
"{0,1,2,3}",6,310110,7,6,-1
"{0,1,2,3}",6,310111,6,5,-1
"{0,1,2,3}",6,310112,5,4,-1
"{0,1,2,3}",6,310113,5,4,-1
"{0,1,2,3}",6,310120,6,5,-1
"{0,1,2,3}",6,310121,5,4,-1
"{0,1,2,3}",6,310122,5,3,-1
"{0,1,2,3}",6,310123,5,3,-1
"{0,1,2,3}",6,310130,5,4,-1
"{0,1,2,3}",6,310131,5,3,-1
"{0,1,2,3}",6,310132,5,3,-1
"{0,1,2,3}",6,310133,5,3,-1
"{0,1,2,3}",6,310200,7,6,-1
"{0,1,2,3}",6,310201,6,5,-1
"{0,1,2,3}",6,310202,5,4,-1
"{0,1,2,3}",6,310203,5,4,-1
"{0,1,2,3}",6,310210,6,5,-1
"{0,1,2,3}",6,310211,5,4,-1
"{0,1,2,3}",6,310212,5,3,-1
"{0,1,2,3}",6,310213,5,3,-1
"{0,1,2,3}",6,310220,5,4,-1
"{0,1,2,3}",6,310221,5,3,-1
"{0,1,2,3}",6,310222,5,2,-1
"{0,1,2,3}",6,310223,5,2,-1
"{0,1,2,3}",6,310230,5,3,-1
"{0,1,2,3}",6,310231,5,2,-1
"{0,1,2,3}",6,310232,5,2,-1
"{0,1,2,3}",6,310233,5,2,-1
"{0,1,2,3}",6,310300,6,5,-1
"{0,1,2,3}",6,310301,5,4,-1
"{0,1,2,3}",6,310302,5,3,-1
"{0,1,2,3}",6,310303,5,3,-1
"{0,1,2,3}",6,310310,5,4,-1
"{0,1,2,3}",6,310311,5,3,-1
"{0,1,2,3}",6,310312,5,2,-1
"{0,1,2,3}",6,310313,5,2,-1
"{0,1,2,3}",6,310320,5,3,-1
"{0,1,2,3}",6,310321,5,2,-1
"{0,1,2,3}",6,310322,5,2,-1
"{0,1,2,3}",6,310323,5,2,-1
"{0,1,2,3}",6,310330,5,2,-1
"{0,1,2,3}",6,310331,5,2,-1
"{0,1,2,3}",6,310332,5,2,-1
"{0,1,2,3}",6,310333,5,2,-1
"{0,1,2,3}",6,311000,8,7,-1
"{0,1,2,3}",6,311001,7,6,-1
"{0,1,2,3}",6,311002,6,5,-1
"{0,1,2,3}",6,311003,6,5,-1
"{0,1,2,3}",6,311010,7,6,-1
"{0,1,2,3}",6,311011,6,5,-1
"{0,1,2,3}",6,311012,5,4,-1
"{0,1,2,3}",6,311013,5,4,-1
"{0,1,2,3}",6,311020,6,5,-1
"{0,1,2,3}",6,311021,5,4,-1
"{0,1,2,3}",6,311022,5,3,-1
"{0,1,2,3}",6,311023,5,3,-1
"{0,1,2,3}",6,311030,5,4,-1
"{0,1,2,3}",6,311031,5,3,-1
"{0,1,2,3}",6,311032,5,3,-1
"{0,1,2,3}",6,311033,5,3,-1
"{0,1,2,3}",6,311100,7,6,-1
"{0,1,2,3}",6,311101,6,5,-1
"{0,1,2,3}",6,311102,5,4,-1
"{0,1,2,3}",6,311103,5,4,-1
"{0,1,2,3}",6,311110,6,5,-1
"{0,1,2,3}",6,311111,5,4,-1
"{0,1,2,3}",6,311112,4,3,-1
"{0,1,2,3}",6,311113,4,3,-1
"{0,1,2,3}",6,311120,5,4,-1
"{0,1,2,3}",6,311121,4,3,-1
"{0,1,2,3}",6,311122,4,2,-1
"{0,1,2,3}",6,311123,4,2,-1
"{0,1,2,3}",6,311130,4,3,-1
"{0,1,2,3}",6,311131,4,2,-1
"{0,1,2,3}",6,311132,4,2,-1
"{0,1,2,3}",6,311133,4,2,-1
"{0,1,2,3}",6,311200,6,5,-1
"{0,1,2,3}",6,311201,5,4,-1
"{0,1,2,3}",6,311202,4,3,-1
"{0,1,2,3}",6,311203,4,3,-1
"{0,1,2,3}",6,311210,5,4,-1
"{0,1,2,3}",6,311211,4,3,-1
"{0,1,2,3}",6,311212,4,2,-1
"{0,1,2,3}",6,311213,4,2,-1
"{0,1,2,3}",6,311220,4,3,-1
"{0,1,2,3}",6,311221,4,2,-1
"{0,1,2,3}",6,311222,4,1,-1
"{0,1,2,3}",6,311223,4,1,-1
"{0,1,2,3}",6,311230,4,2,-1
"{0,1,2,3}",6,311231,4,1,-1
"{0,1,2,3}",6,311232,4,1,-1
"{0,1,2,3}",6,311233,4,1,-1
"{0,1,2,3}",6,311300,5,4,-1
"{0,1,2,3}",6,311301,4,3,-1
"{0,1,2,3}",6,311302,4,2,-1
"{0,1,2,3}",6,311303,4,2,-1
"{0,1,2,3}",6,311310,4,3,-1
"{0,1,2,3}",6,311311,4,2,-1
"{0,1,2,3}",6,311312,4,1,-1
"{0,1,2,3}",6,311313,4,1,-1
"{0,1,2,3}",6,311320,4,2,-1
"{0,1,2,3}",6,311321,4,1,-1
"{0,1,2,3}",6,311322,4,1,-1
"{0,1,2,3}",6,311323,4,1,-1
"{0,1,2,3}",6,311330,4,1,-1
"{0,1,2,3}",6,311331,4,1,-1
"{0,1,2,3}",6,311332,4,1,-1
"{0,1,2,3}",6,311333,4,1,-2
"{0,1,2,3}",6,312000,7,6,-1
"{0,1,2,3}",6,312001,6,5,-1
"{0,1,2,3}",6,312002,5,4,-1
"{0,1,2,3}",6,312003,5,4,-1
"{0,1,2,3}",6,312010,6,5,-1
"{0,1,2,3}",6,312011,5,4,-1
"{0,1,2,3}",6,312012,4,3,-1
"{0,1,2,3}",6,312013,4,3,-1
"{0,1,2,3}",6,312020,5,4,-1
"{0,1,2,3}",6,312021,4,3,-1
"{0,1,2,3}",6,312022,4,2,-1
"{0,1,2,3}",6,312023,4,2,-1
"{0,1,2,3}",6,312030,4,3,-1
"{0,1,2,3}",6,312031,4,2,-1
"{0,1,2,3}",6,312032,4,2,-1
"{0,1,2,3}",6,312033,4,2,-1
"{0,1,2,3}",6,312100,6,5,-1
"{0,1,2,3}",6,312101,5,4,-1
"{0,1,2,3}",6,312102,4,3,-1
"{0,1,2,3}",6,312103,4,3,-1
"{0,1,2,3}",6,312110,5,4,-1
"{0,1,2,3}",6,312111,4,3,-1
"{0,1,2,3}",6,312112,3,2,-1
"{0,1,2,3}",6,312113,3,2,-1
"{0,1,2,3}",6,312120,4,3,-1
"{0,1,2,3}",6,312121,3,2,-1
"{0,1,2,3}",6,312122,3,1,-1
"{0,1,2,3}",6,312123,3,1,-1
"{0,1,2,3}",6,312130,3,2,-1
"{0,1,2,3}",6,312131,3,1,-1
"{0,1,2,3}",6,312132,3,1,-1
"{0,1,2,3}",6,312133,3,1,-1
"{0,1,2,3}",6,312200,5,4,-1
"{0,1,2,3}",6,312201,4,3,-1
"{0,1,2,3}",6,312202,3,2,-1
"{0,1,2,3}",6,312203,3,2,-1
"{0,1,2,3}",6,312210,4,3,-1
"{0,1,2,3}",6,312211,3,2,-1
"{0,1,2,3}",6,312212,3,1,-1
"{0,1,2,3}",6,312213,3,1,-1
"{0,1,2,3}",6,312220,3,2,-1
"{0,1,2,3}",6,312221,3,1,-1
"{0,1,2,3}",6,312222,3,0,-1
"{0,1,2,3}",6,312223,3,0,-1
"{0,1,2,3}",6,312230,3,1,-1
"{0,1,2,3}",6,312231,3,0,-1
"{0,1,2,3}",6,312232,3,0,-1
"{0,1,2,3}",6,312233,3,0,-2
"{0,1,2,3}",6,312300,4,3,-1
"{0,1,2,3}",6,312301,3,2,-1
"{0,1,2,3}",6,312302,3,1,-1
"{0,1,2,3}",6,312303,3,1,-1
"{0,1,2,3}",6,312310,3,2,-1
"{0,1,2,3}",6,312311,3,1,-1
"{0,1,2,3}",6,312312,3,0,-1
"{0,1,2,3}",6,312313,3,0,-1
"{0,1,2,3}",6,312320,3,1,-1
"{0,1,2,3}",6,312321,3,0,-1
"{0,1,2,3}",6,312322,3,0,-1
"{0,1,2,3}",6,312323,3,0,-2
"{0,1,2,3}",6,312330,3,0,-2
"{0,1,2,3}",6,312331,3,0,-2
"{0,1,2,3}",6,312332,3,0,-2
"{0,1,2,3}",6,312333,3,0,-3
"{0,1,2,3}",6,313000,6,5,-1
"{0,1,2,3}",6,313001,5,4,-1
"{0,1,2,3}",6,313002,4,3,-1
"{0,1,2,3}",6,313003,4,3,-1
"{0,1,2,3}",6,313010,5,4,-1
"{0,1,2,3}",6,313011,4,3,-1
"{0,1,2,3}",6,313012,3,2,-1
"{0,1,2,3}",6,313013,3,2,-1
"{0,1,2,3}",6,313020,4,3,-1
"{0,1,2,3}",6,313021,3,2,-1
"{0,1,2,3}",6,313022,3,1,-1
"{0,1,2,3}",6,313023,3,1,-1
"{0,1,2,3}",6,313030,3,2,-1
"{0,1,2,3}",6,313031,3,1,-1
"{0,1,2,3}",6,313032,3,1,-1
"{0,1,2,3}",6,313033,3,1,-1
"{0,1,2,3}",6,313100,5,4,-1
"{0,1,2,3}",6,313101,4,3,-1
"{0,1,2,3}",6,313102,3,2,-1
"{0,1,2,3}",6,313103,3,2,-1
"{0,1,2,3}",6,313110,4,3,-1
"{0,1,2,3}",6,313111,3,2,-1
"{0,1,2,3}",6,313112,3,1,-1
"{0,1,2,3}",6,313113,3,1,-1
"{0,1,2,3}",6,313120,3,2,-1
"{0,1,2,3}",6,313121,3,1,-1
"{0,1,2,3}",6,313122,3,0,-1
"{0,1,2,3}",6,313123,3,0,-1
"{0,1,2,3}",6,313130,3,1,-1
"{0,1,2,3}",6,313131,3,0,-1
"{0,1,2,3}",6,313132,3,0,-1
"{0,1,2,3}",6,313133,3,0,-2
"{0,1,2,3}",6,313200,4,3,-1
"{0,1,2,3}",6,313201,3,2,-1
"{0,1,2,3}",6,313202,3,1,-1
"{0,1,2,3}",6,313203,3,1,-1
"{0,1,2,3}",6,313210,3,2,-1
"{0,1,2,3}",6,313211,3,1,-1
"{0,1,2,3}",6,313212,3,0,-1
"{0,1,2,3}",6,313213,3,0,-1
"{0,1,2,3}",6,313220,3,1,-1
"{0,1,2,3}",6,313221,3,0,-1
"{0,1,2,3}",6,313222,3,0,-1
"{0,1,2,3}",6,313223,3,0,-2
"{0,1,2,3}",6,313230,3,0,-2
"{0,1,2,3}",6,313231,3,0,-2
"{0,1,2,3}",6,313232,3,0,-2
"{0,1,2,3}",6,313233,3,0,-3
"{0,1,2,3}",6,313300,3,2,-2
"{0,1,2,3}",6,313301,3,1,-2
"{0,1,2,3}",6,313302,3,0,-2
"{0,1,2,3}",6,313303,3,0,-2
"{0,1,2,3}",6,313310,3,1,-2
"{0,1,2,3}",6,313311,3,0,-2
"{0,1,2,3}",6,313312,3,0,-2
"{0,1,2,3}",6,313313,3,0,-2
"{0,1,2,3}",6,313320,3,0,-2
"{0,1,2,3}",6,313321,3,0,-2
"{0,1,2,3}",6,313322,3,0,-2
"{0,1,2,3}",6,313323,3,0,-3
"{0,1,2,3}",6,313330,3,0,-3
"{0,1,2,3}",6,313331,3,0,-3
"{0,1,2,3}",6,313332,3,0,-3
"{0,1,2,3}",6,313333,3,0,-4
"{0,1,2,3}",6,320000,8,7,-1
"{0,1,2,3}",6,320001,7,6,-1
"{0,1,2,3}",6,320002,6,5,-1
"{0,1,2,3}",6,320003,6,5,-1
"{0,1,2,3}",6,320010,7,6,-1
"{0,1,2,3}",6,320011,6,5,-1
"{0,1,2,3}",6,320012,5,4,-1
"{0,1,2,3}",6,320013,5,4,-1
"{0,1,2,3}",6,320020,6,5,-1
"{0,1,2,3}",6,320021,5,4,-1
"{0,1,2,3}",6,320022,5,3,-1
"{0,1,2,3}",6,320023,5,3,-1
"{0,1,2,3}",6,320030,5,4,-1
"{0,1,2,3}",6,320031,5,3,-1
"{0,1,2,3}",6,320032,5,3,-1
"{0,1,2,3}",6,320033,5,3,-1
"{0,1,2,3}",6,320100,7,6,-1
"{0,1,2,3}",6,320101,6,5,-1
"{0,1,2,3}",6,320102,5,4,-1
"{0,1,2,3}",6,320103,5,4,-1
"{0,1,2,3}",6,320110,6,5,-1
"{0,1,2,3}",6,320111,5,4,-1
"{0,1,2,3}",6,320112,4,3,-1
"{0,1,2,3}",6,320113,4,3,-1
"{0,1,2,3}",6,320120,5,4,-1
"{0,1,2,3}",6,320121,4,3,-1
"{0,1,2,3}",6,320122,4,2,-1
"{0,1,2,3}",6,320123,4,2,-1
"{0,1,2,3}",6,320130,4,3,-1
"{0,1,2,3}",6,320131,4,2,-1
"{0,1,2,3}",6,320132,4,2,-1
"{0,1,2,3}",6,320133,4,2,-1
"{0,1,2,3}",6,320200,6,5,-1
"{0,1,2,3}",6,320201,5,4,-1
"{0,1,2,3}",6,320202,4,3,-1
"{0,1,2,3}",6,320203,4,3,-1
"{0,1,2,3}",6,320210,5,4,-1
"{0,1,2,3}",6,320211,4,3,-1
"{0,1,2,3}",6,320212,4,2,-1
"{0,1,2,3}",6,320213,4,2,-1
"{0,1,2,3}",6,320220,4,3,-1
"{0,1,2,3}",6,320221,4,2,-1
"{0,1,2,3}",6,320222,4,1,-1
"{0,1,2,3}",6,320223,4,1,-1
"{0,1,2,3}",6,320230,4,2,-1
"{0,1,2,3}",6,320231,4,1,-1
"{0,1,2,3}",6,320232,4,1,-1
"{0,1,2,3}",6,320233,4,1,-1
"{0,1,2,3}",6,320300,5,4,-1
"{0,1,2,3}",6,320301,4,3,-1
"{0,1,2,3}",6,320302,4,2,-1
"{0,1,2,3}",6,320303,4,2,-1
"{0,1,2,3}",6,320310,4,3,-1
"{0,1,2,3}",6,320311,4,2,-1
"{0,1,2,3}",6,320312,4,1,-1
"{0,1,2,3}",6,320313,4,1,-1
"{0,1,2,3}",6,320320,4,2,-1
"{0,1,2,3}",6,320321,4,1,-1
"{0,1,2,3}",6,320322,4,1,-1
"{0,1,2,3}",6,320323,4,1,-1
"{0,1,2,3}",6,320330,4,1,-1
"{0,1,2,3}",6,320331,4,1,-1
"{0,1,2,3}",6,320332,4,1,-1
"{0,1,2,3}",6,320333,4,1,-2
"{0,1,2,3}",6,321000,7,6,-1
"{0,1,2,3}",6,321001,6,5,-1
"{0,1,2,3}",6,321002,5,4,-1
"{0,1,2,3}",6,321003,5,4,-1
"{0,1,2,3}",6,321010,6,5,-1
"{0,1,2,3}",6,321011,5,4,-1
"{0,1,2,3}",6,321012,4,3,-1
"{0,1,2,3}",6,321013,4,3,-1
"{0,1,2,3}",6,321020,5,4,-1
"{0,1,2,3}",6,321021,4,3,-1
"{0,1,2,3}",6,321022,4,2,-1
"{0,1,2,3}",6,321023,4,2,-1
"{0,1,2,3}",6,321030,4,3,-1
"{0,1,2,3}",6,321031,4,2,-1
"{0,1,2,3}",6,321032,4,2,-1
"{0,1,2,3}",6,321033,4,2,-1
"{0,1,2,3}",6,321100,6,5,-1
"{0,1,2,3}",6,321101,5,4,-1
"{0,1,2,3}",6,321102,4,3,-1
"{0,1,2,3}",6,321103,4,3,-1
"{0,1,2,3}",6,321110,5,4,-1
"{0,1,2,3}",6,321111,4,3,-1
"{0,1,2,3}",6,321112,3,2,-1
"{0,1,2,3}",6,321113,3,2,-1
"{0,1,2,3}",6,321120,4,3,-1
"{0,1,2,3}",6,321121,3,2,-1
"{0,1,2,3}",6,321122,3,1,-1
"{0,1,2,3}",6,321123,3,1,-1
"{0,1,2,3}",6,321130,3,2,-1
"{0,1,2,3}",6,321131,3,1,-1
"{0,1,2,3}",6,321132,3,1,-1
"{0,1,2,3}",6,321133,3,1,-1
"{0,1,2,3}",6,321200,5,4,-1
"{0,1,2,3}",6,321201,4,3,-1
"{0,1,2,3}",6,321202,3,2,-1
"{0,1,2,3}",6,321203,3,2,-1
"{0,1,2,3}",6,321210,4,3,-1
"{0,1,2,3}",6,321211,3,2,-1
"{0,1,2,3}",6,321212,3,1,-1
"{0,1,2,3}",6,321213,3,1,-1
"{0,1,2,3}",6,321220,3,2,-1
"{0,1,2,3}",6,321221,3,1,-1
"{0,1,2,3}",6,321222,3,0,-1
"{0,1,2,3}",6,321223,3,0,-1
"{0,1,2,3}",6,321230,3,1,-1
"{0,1,2,3}",6,321231,3,0,-1
"{0,1,2,3}",6,321232,3,0,-1
"{0,1,2,3}",6,321233,3,0,-2
"{0,1,2,3}",6,321300,4,3,-1
"{0,1,2,3}",6,321301,3,2,-1
"{0,1,2,3}",6,321302,3,1,-1
"{0,1,2,3}",6,321303,3,1,-1
"{0,1,2,3}",6,321310,3,2,-1
"{0,1,2,3}",6,321311,3,1,-1
"{0,1,2,3}",6,321312,3,0,-1
"{0,1,2,3}",6,321313,3,0,-1
"{0,1,2,3}",6,321320,3,1,-1
"{0,1,2,3}",6,321321,3,0,-1
"{0,1,2,3}",6,321322,3,0,-1
"{0,1,2,3}",6,321323,3,0,-2
"{0,1,2,3}",6,321330,3,0,-2
"{0,1,2,3}",6,321331,3,0,-2
"{0,1,2,3}",6,321332,3,0,-2
"{0,1,2,3}",6,321333,3,0,-3
"{0,1,2,3}",6,322000,6,5,-1
"{0,1,2,3}",6,322001,5,4,-1
"{0,1,2,3}",6,322002,4,3,-1
"{0,1,2,3}",6,322003,4,3,-1
"{0,1,2,3}",6,322010,5,4,-1
"{0,1,2,3}",6,322011,4,3,-1
"{0,1,2,3}",6,322012,3,2,-1
"{0,1,2,3}",6,322013,3,2,-1
"{0,1,2,3}",6,322020,4,3,-1
"{0,1,2,3}",6,322021,3,2,-1
"{0,1,2,3}",6,322022,3,1,-1
"{0,1,2,3}",6,322023,3,1,-1
"{0,1,2,3}",6,322030,3,2,-1
"{0,1,2,3}",6,322031,3,1,-1
"{0,1,2,3}",6,322032,3,1,-1
"{0,1,2,3}",6,322033,3,1,-1
"{0,1,2,3}",6,322100,5,4,-1
"{0,1,2,3}",6,322101,4,3,-1
"{0,1,2,3}",6,322102,3,2,-1
"{0,1,2,3}",6,322103,3,2,-1
"{0,1,2,3}",6,322110,4,3,-1
"{0,1,2,3}",6,322111,3,2,-1
"{0,1,2,3}",6,322112,2,1,-1
"{0,1,2,3}",6,322113,2,1,-1
"{0,1,2,3}",6,322120,3,2,-1
"{0,1,2,3}",6,322121,2,1,-1
"{0,1,2,3}",6,322122,2,0,-1
"{0,1,2,3}",6,322123,2,0,-1
"{0,1,2,3}",6,322130,2,1,-1
"{0,1,2,3}",6,322131,2,0,-1
"{0,1,2,3}",6,322132,2,0,-1
"{0,1,2,3}",6,322133,2,0,-2
"{0,1,2,3}",6,322200,4,3,-1
"{0,1,2,3}",6,322201,3,2,-1
"{0,1,2,3}",6,322202,2,1,-1
"{0,1,2,3}",6,322203,2,1,-1
"{0,1,2,3}",6,322210,3,2,-1
"{0,1,2,3}",6,322211,2,1,-1
"{0,1,2,3}",6,322212,2,0,-1
"{0,1,2,3}",6,322213,2,0,-1
"{0,1,2,3}",6,322220,2,1,-1
"{0,1,2,3}",6,322221,2,0,-1
"{0,1,2,3}",6,322222,2,0,-1
"{0,1,2,3}",6,322223,2,0,-2
"{0,1,2,3}",6,322230,2,0,-2
"{0,1,2,3}",6,322231,2,0,-2
"{0,1,2,3}",6,322232,2,0,-2
"{0,1,2,3}",6,322233,2,0,-3
"{0,1,2,3}",6,322300,3,2,-2
"{0,1,2,3}",6,322301,2,1,-2
"{0,1,2,3}",6,322302,2,0,-2
"{0,1,2,3}",6,322303,2,0,-2
"{0,1,2,3}",6,322310,2,1,-2
"{0,1,2,3}",6,322311,2,0,-2
"{0,1,2,3}",6,322312,2,0,-2
"{0,1,2,3}",6,322313,2,0,-2
"{0,1,2,3}",6,322320,2,0,-2
"{0,1,2,3}",6,322321,2,0,-2
"{0,1,2,3}",6,322322,2,0,-2
"{0,1,2,3}",6,322323,2,0,-3
"{0,1,2,3}",6,322330,2,0,-3
"{0,1,2,3}",6,322331,2,0,-3
"{0,1,2,3}",6,322332,2,0,-3
"{0,1,2,3}",6,322333,2,0,-4
"{0,1,2,3}",6,323000,5,4,-2
"{0,1,2,3}",6,323001,4,3,-2
"{0,1,2,3}",6,323002,3,2,-2
"{0,1,2,3}",6,323003,3,2,-2
"{0,1,2,3}",6,323010,4,3,-2
"{0,1,2,3}",6,323011,3,2,-2
"{0,1,2,3}",6,323012,2,1,-2
"{0,1,2,3}",6,323013,2,1,-2
"{0,1,2,3}",6,323020,3,2,-2
"{0,1,2,3}",6,323021,2,1,-2
"{0,1,2,3}",6,323022,2,0,-2
"{0,1,2,3}",6,323023,2,0,-2
"{0,1,2,3}",6,323030,2,1,-2
"{0,1,2,3}",6,323031,2,0,-2
"{0,1,2,3}",6,323032,2,0,-2
"{0,1,2,3}",6,323033,2,0,-2
"{0,1,2,3}",6,323100,4,3,-2
"{0,1,2,3}",6,323101,3,2,-2
"{0,1,2,3}",6,323102,2,1,-2
"{0,1,2,3}",6,323103,2,1,-2
"{0,1,2,3}",6,323110,3,2,-2
"{0,1,2,3}",6,323111,2,1,-2
"{0,1,2,3}",6,323112,2,0,-2
"{0,1,2,3}",6,323113,2,0,-2
"{0,1,2,3}",6,323120,2,1,-2
"{0,1,2,3}",6,323121,2,0,-2
"{0,1,2,3}",6,323122,2,0,-2
